SiduriMakorPitzul,Siduri,MbNifkadGalKodem,wave,s_seker,MishkalMb,ozeret,tahasokaozeret,Meconit,k_ShaotOzeret,k_MispMeconiyot1,sumHPensiaShnatit,sumHHishShnatit,sumHGemelShnatit,sumHMilgaShnatit,sumHHulShnatit,sumHAnashimShnatit,HRibitShnatit,HHashkaotShnatit,HDividendShnatit,HSchirutShnatit,HEsekShnatit,SachNefashot,Nefashot18up,Men18Up,Women18Up,Nefashot0_17,k_baalut1,m_DmeSchirutChodeshi,m_SetachMigrashBayitprati,k_mizug,m_ShuviDira,m_MechirDiraKnuyaB12,m_KesefKniyaAtidit,m_HalvaaDiyur,m_HalvaaLoDiyur,m_MisgeretAshrai,m_YeshAshrai,m_Mechirkarka,ADechiyaMoedTashlum1,AKredit1,APrisatTushlum1,AimMekura1,AlutBniya1,AtidMechiraDira1,AtidMechiraDiraN1,BaalutDiraLLoBealim1,BaalutDiraLLoBealimKama1,BaalutDiraNosefet1,BaalutDiraNosefetKama1,BaayaBiluy1,BaayaChinuch1,BaayaChoshech1,BaayaHaznacha1,BaayaKvish1,BaayaMatos1,BaayaMifal1,BaayaRakevet1,BaayaRech1,BaayaZevel1,BaayaZihum1,BituachMenahalimMb1,ChanayaPratit1,ChederAronot1,CheshbonChasum1,ChisachonAtid1,ChisachonHayom1,DiraMedurag1,DiraNosefet121,DiraNosefetP121,GemelVPizuyimMB1,GinaPratit1,GodelGinaPratit1,HagdalatDira1,HalvaaLoDiyurAcher1,HalvaaLoDiyurAshrai1,HalvaaLoDiyurAvoda1,HalvaaLoDiyurBank1,HalvaaLoDiyurBituach1,HalvaaLoDiyurLising1,HasakaPratit1,HaskaChisachon1,HaskaLoNeemanut1,HaskaNeemanut1,HaskaPikdon1,HeviDoch1,kHishMB1,kNeemanutMB1,kPensiaMB1,K_MispHadarim1,K_MispChadarimMegurim1,KamaGinaPratit1,KamaKarkaLoChaklait1,KamaKivun1,KamaMirpeset1,KamaSherutim1,KarkaAcheret1,KarkaChaklait1,KarkaLoChaklait1,KesefHutzAcher1,KesefHutzD1,KesefHutzDinarY1,KesefHutzE1,KesefHutzL1,KibelMechirDiraN1,Kivun1,KniyaAtiditDira1,M_ChodashimCheshbonChasum1,M_ChodashimMinus1,M_PeamimPniyaBank1,Maaliyot1,MachsanBetochD1,MachsanMiD1,MatbeaAlutBniya1,MatbeaBniya1,MatbeaChisachon1,MatbeaHutz1,MatbeaKnuya1,MatbeaLoNeemanut1,MatbeaNeemanut1,MatbeaPikdon1,MazavKAtid1,MazavKAvar1,MechirBniya1,MechirKnuya1,MechiraDiraNKama1,MechiraDiraNosefet1,MekorSetach1,MenayotMB1,Minus1,MirpesetChitzonit1,MirpesetSherut1,MispDirotBinyan1,MispKomotBinyan1,Mocher1,MspDirotBeKomatMegurim1,NofAntena1,NofGag1,NofKvish1,NofKvishPnimi1,NofRakevet1,NofSetachPatuch1,NofSetachYarok1,NofYam1,OfenBaalut1,OfenBaalutMigrash1,PikdonotMB1,PniyaBank1,SchumHalvaaLoDiyur1,SetachBayitpratY1,SetachDira1,Sfarim1,ShanaBniya1,ShanaRechishaB1,ShanaRechishaK1,ShiirochChisachonChodesh1,ShiirochChisachonShana1,ShiirochChisachonYom1,ShiirochLoNeemanutChodesh1,ShiirochLoNeemanutShana1,ShiirochLoNeemanutYom1,ShiirochNeemanutChodesh1,ShiirochNeemanutShana1,ShiirochNeemanutYom1,ShiirochPikdonChodesh1,ShiirochPikdonShana1,ShiirochPikdonYom1,ShuviDirotLoMegurim1,SinuyimPnimiimBDira1,SugCheshbon1,SugDira1,TChisachonMB1,TaarichRechishaB1,TaarichRechishaK1,YitraNEAgachMemshaltiBAhuz1,YitraNEAgachMemshaltiBSchum1,YitraNEMenayotBAhuz1,YitraNEMenayotBSchum1,m_KesefMB1,m_SchumHalvaaDiyur1,GodelKarkaLoChaklait,MdidaKarkaLoChaklait,KarkaChaklaitSetach,MdidaKarkaChaklait,sumHMosdotShnatitnew,SacShnatikolel_Lembnew
,1658,1,2,2013,462.4542891,2,,1,,1,0,0,0,0,0,0,0,0,0,0,0,6,2,1,1,4,1,,,2,,,,2,2,99999998,2,,,,,,,2,,,,2,,2,2,2,2,2,2,2,2,2,2,1,2,2,2,,4,5,1,,2,2,2,,2,,,,,,,3,,,,,,2,2,2,3,3,,,4,,1,2,2,2,,,,,,,1,2,,,,0,2,2,,0,,2,,,,,5,5,,,,2,4,2,2,,2,1,3,,1,2,1,1,1,2,1,2,2,2,3,2,,,,90,2,7,99999998,,,,,,,,,,,,,,,2,1,1,2,99999998,,,,,,2,,,,,,13961.08333,61961.08333
,1659,1,2,2013,438.5767115,2,,1,,2,0,0,0,0,0,0,0,0,0,0,0,4,2,1,1,2,1,,80,2,,,,2,1,10000,1,,2,1,1,1,,2,,,,2,,2,2,2,1,2,2,2,2,2,1,2,2,1,2,2,4,5,2,,2,2,,,2,2,2,2,1,2,2,3,800,,,,,2,2,2,4,3,,,4,,3,2,2,2,,,,,,,6,2,,12,9,0,2,1,,0,1,2,,,,,2,3,,,,2,4,2,1,2,2,,,,,1,1,1,1,2,1,2,2,2,3,2,1,35000,1,120,2,9,2012,,99999998,99999998,99999998,,,,,,,,,,,2,1,7,1,2,,,,,,1,,,,,,4466,118466
,1662,1,2,2013,583.3535006,2,,2,,,0,0,0,0,0,0,0,0,0,0,0,6,2,1,1,4,3,,,3,,,,2,1,3000,2,,,,,,,,,2,,,,2,2,1,1,1,2,2,2,2,2,2,2,2,2,1,4,5,2,2,,2,2,,2,2,2,2,1,2,2,3,,,,,,2,2,2,4,3,,,2,1,1,2,2,2,,,,,,,6,2,99999998,12,3,0,2,2,,,,2,,,,,99999998,2,,,,2,4,2,1,1,2,1,3,,1,1,1,1,2,2,1,2,2,,,2,1,12000,,85,1,99999998,,,,,,,,,,,,,,,,2,1,4,2,,,,,,,1,,,,,,100675.25,100675.25
,1663,1,2,2013,274.7550727,2,,2,,,0,0,0,0,0,0,0,0,0,0,0,1,1,1,,,1,,,3,,,,2,2,0,2,,,,,,,2,,,,2,,2,2,1,2,2,1,2,2,2,2,2,2,2,2,,2,2,2,,2,2,2,,2,,,,,,,3,,,,,,2,2,2,4,3,,,3,1,2,2,2,2,,,,,,,1,2,,,,0,2,2,,0,,2,,,,,2,2,,,,2,3,2,2,1,1,1,4,,2,2,1,2,2,2,1,2,2,2,3,2,,,,135,1,8,2004,,,,,,,,,,,,,,,2,1,4,2,99999998,,,,,,1,,,,,,39777,41683
,1665,1,2,2013,353.1486626,2,,1,,1,0,0,0,0,0,0,0,0,0,0,0,4,2,1,1,2,1,,,2,,,,1,1,1000,1,,1,1,1,,,2,,,,2,,2,2,1,2,2,2,2,2,1,1,1,2,2,2,2,2,3,1,,2,2,2,,2,2,2,2,1,2,2,3,,,,,2,2,2,2,3,2,,,4,,2,2,2,2,,,,,,,6,2,,2,,0,2,2,,0,,2,,,,,4,5,,,,2,3,2,1,,2,1,3,,1,2,1,2,1,2,2,2,2,2,3,2,2,4000,,180,1,9,99999998,,,,,,,,,,,,,,,2,1,1,2,99999998,,,,,,2,50000,,,,,7370.166667,58970.16667
,1666,1,2,2013,217.5846728,2,,2,,,0,0,0,0,0,0,0,0,0,0,0,1,1,,1,,3,,,1,,,,2,2,0,1,,2,2,1,,,,,2,,,,2,2,2,1,2,1,2,2,1,1,2,2,2,2,,1,3,1,2,,2,1,99999998,2,,,,,,,3,,,,,,2,2,99999998,5,5,1,,3,,2,2,2,2,,,,,,,6,2,,,,0,2,1,,,,2,,,,,1,5,,,,2,,2,2,,2,,,,,2,1,1,1,2,1,2,2,,,2,,,,99999998,5,6,,,,,,,,,,,,,,,,1,1,99999998,2,,,,,,,3,,,,,,0,6000
,1667,1,2,2013,297.7807372,2,,1,,1,0,0,0,0,0,0,0,0,0,0,0,3,2,1,1,1,1,,,2,,,,2,1,8000,1,,2,2,2,,,2,,,,2,,2,2,2,2,1,2,2,2,2,1,2,2,2,2,,3,3,2,,2,2,2,,2,2,2,2,1,2,2,1,25000,,,,,2,2,1,5,5,,,1,1,2,2,2,2,,,,,,,6,2,,,,0,2,2,,,1,2,,,,,99999998,3,,,,2,4,2,2,1,2,1,2,,1,1,1,2,1,2,1,2,2,3,,2,,30000,,140,1,99999998,,,11,2013,11,,,,,,,,,,,1,1,4,1,,,,,,,99999998,,,,,,1894.333333,67894.33333
,1668,1,2,2013,296.4986768,,,,,,0,0,0,0,0,0,0,0,0,0,0,1,1,1,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
,1669,1,2,2013,667.938022,,,,,,0,0,0,0,0,0,0,0,0,0,0,3,2,1,1,1,2,99999998,,2,,,,2,2,30000,1,,2,1,1,,,,,2,,,,2,2,2,2,2,2,2,1,1,2,1,2,,2,2,4,4,2,2,,2,,,,,,,,,,3,99999998,,,,,2,2,2,4,4,,,3,1,2,2,2,2,,,,,,,4,2,,4,2,0,2,1,,,,2,,,,,99999998,4,,,,2,4,2,1,1,2,,,,,2,2,2,1,2,2,2,2,,,2,1,,,95,,1,,,0,,,,,,,,,,,,,,2,8,1,,,,,,,1,,,,,,0,0
,1670,1,2,2013,483.3070951,2,,2,,,0,0,18000,0,0,0,0,0,0,0,0,2,2,1,1,,1,,,2,99999998,,,2,2,10000,1,99999998,2,2,1,,,2,,,,2,,2,2,2,2,1,2,2,2,1,2,1,2,2,2,2,4,4,2,,2,1,1,100,1,,,,,,,3,,,,,,2,2,2,3,2,1,,4,,2,2,1,2,,,,,,,2,2,,6,,0,2,1,,,,2,7,,,,3,3,,500,,2,4,2,1,2,2,,,4,,2,1,2,1,2,1,1,2,1,,2,2,,,197,2,3,,1960,,,,,,,,,,,,,,1,1,5,2,,12,,,,,2,,,,30,2,50553,68553
