SiduriMakorPitzul,Siduri,MbNifkadGalKodem,wave,s_seker,MishkalMb,ozeret,tahasokaozeret,Meconit,k_ShaotOzeret,k_MispMeconiyot1,sumHPensiaShnatit,sumHHishShnatit,sumHGemelShnatit,sumHMilgaShnatit,sumHHulShnatit,sumHAnashimShnatit,HRibitShnatit,HHashkaotShnatit,HDividendShnatit,HSchirutShnatit,HEsekShnatit,SachNefashot,Nefashot18up,Men18Up,Women18Up,Nefashot0_17,k_baalut1,m_DmeSchirutChodeshi,m_SetachMigrashBayitprati,k_mizug,m_ShuviDira,m_MechirDiraKnuyaB12,m_KesefKniyaAtidit,m_HalvaaDiyur,m_HalvaaLoDiyur,m_MisgeretAshrai,m_YeshAshrai,m_Mechirkarka,ADechiyaMoedTashlum1,AKredit1,APrisatTushlum1,AimMekura1,AlutBniya1,AtidMechiraDira1,AtidMechiraDiraN1,BaalutDiraLLoBealim1,BaalutDiraLLoBealimKama1,BaalutDiraNosefet1,BaalutDiraNosefetKama1,BaayaBiluy1,BaayaChinuch1,BaayaChoshech1,BaayaHaznacha1,BaayaKvish1,BaayaMatos1,BaayaMifal1,BaayaRakevet1,BaayaRech1,BaayaZevel1,BaayaZihum1,BituachMenahalimMb1,ChanayaPratit1,ChederAronot1,CheshbonChasum1,ChisachonAtid1,ChisachonHayom1,DiraMedurag1,DiraNosefet121,DiraNosefetP121,GemelVPizuyimMB1,GinaPratit1,GodelGinaPratit1,HagdalatDira1,HalvaaLoDiyurAcher1,HalvaaLoDiyurAshrai1,HalvaaLoDiyurAvoda1,HalvaaLoDiyurBank1,HalvaaLoDiyurBituach1,HalvaaLoDiyurLising1,HasakaPratit1,HaskaChisachon1,HaskaLoNeemanut1,HaskaNeemanut1,HaskaPikdon1,HeviDoch1,kHishMB1,kNeemanutMB1,kPensiaMB1,K_MispHadarim1,K_MispChadarimMegurim1,KamaGinaPratit1,KamaKarkaLoChaklait1,KamaKivun1,KamaMirpeset1,KamaSherutim1,KarkaAcheret1,KarkaChaklait1,KarkaLoChaklait1,KesefHutzAcher1,KesefHutzD1,KesefHutzDinarY1,KesefHutzE1,KesefHutzL1,KibelMechirDiraN1,Kivun1,KniyaAtiditDira1,M_ChodashimCheshbonChasum1,M_ChodashimMinus1,M_PeamimPniyaBank1,Maaliyot1,MachsanBetochD1,MachsanMiD1,MatbeaAlutBniya1,MatbeaBniya1,MatbeaChisachon1,MatbeaHutz1,MatbeaKnuya1,MatbeaLoNeemanut1,MatbeaNeemanut1,MatbeaPikdon1,MazavKAtid1,MazavKAvar1,MechirBniya1,MechirKnuya1,MechiraDiraNKama1,MechiraDiraNosefet1,MekorSetach1,MenayotMB1,Minus1,MirpesetChitzonit1,MirpesetSherut1,MispDirotBinyan1,MispKomotBinyan1,Mocher1,MspDirotBeKomatMegurim1,NofAntena1,NofGag1,NofKvish1,NofKvishPnimi1,NofRakevet1,NofSetachPatuch1,NofSetachYarok1,NofYam1,OfenBaalut1,OfenBaalutMigrash1,PikdonotMB1,PniyaBank1,SchumHalvaaLoDiyur1,SetachBayitpratY1,SetachDira1,Sfarim1,ShanaBniya1,ShanaRechishaB1,ShanaRechishaK1,ShiirochChisachonChodesh1,ShiirochChisachonShana1,ShiirochChisachonYom1,ShiirochLoNeemanutChodesh1,ShiirochLoNeemanutShana1,ShiirochLoNeemanutYom1,ShiirochNeemanutChodesh1,ShiirochNeemanutShana1,ShiirochNeemanutYom1,ShiirochPikdonChodesh1,ShiirochPikdonShana1,ShiirochPikdonYom1,ShuviDirotLoMegurim1,SinuyimPnimiimBDira1,SugCheshbon1,SugDira1,TChisachonMB1,TaarichRechishaB1,TaarichRechishaK1,YitraNEAgachMemshaltiBAhuz1,YitraNEAgachMemshaltiBSchum1,YitraNEMenayotBAhuz1,YitraNEMenayotBSchum1,m_KesefMB1,m_SchumHalvaaDiyur1,GodelKarkaLoChaklait,MdidaKarkaLoChaklait,KarkaChaklaitSetach,MdidaKarkaChaklait,sumHMosdotShnatitnew,SacShnatikolel_Lembnew
,2,1,2,2013,667.7107425,2,,1,,2,0,0,0,0,0,0,33600,0,0,0,0,2,2,2,,,1,,,1,2500000,,,2,2,99999998,1,,2,2,1,,,2,,,,2,,2,1,2,2,2,2,2,2,2,2,2,2,2,2,,4,3,2,,2,2,2,,2,,,,,,,3,,,,1400000,,2,2,2,4,4,,,3,,1,2,2,2,,,,,,,1,2,,,,0,2,2,,,,2,,,,1,3,4,,99999998,,2,4,2,2,2,1,2,4,2,2,1,1,2,1,2,2,2,2,1,,1,,,,90,5,4,,1971,,,,,,,,,,1,2014,27,,1,1,4,2,,99999998,,,,,5,,,,,,28188,79788
,4,1,2,2013,562.7166597,2,,2,,,0,0,0,0,0,0,0,0,0,0,0,1,1,,1,,2,13500,,1,,,,2,2,,,,,,,,,,2,1,1,,,2,2,2,2,1,2,2,2,2,2,2,2,,2,,4,4,2,2,,2,2,,,,,,,,,3,,,,,,2,2,2,2,2,,,1,1,1,2,2,2,,,,,,,99999998,2,,,,2,2,2,,,,2,,,,,3,3,,,,2,,2,,1,2,99999998,3,,99999998,2,2,2,1,2,1,2,2,,,2,,,,99999998,6,6,,,,,,,,,,,,,,,,,4,4,2,,,,,,,1,,,,,,26460.5,26460.5
,6,1,2,2013,445.432826,1,1,2,3,,0,0,0,0,0,540000,40000,0,0,0,0,2,2,1,1,,2,14000,,1,,,,2,2,0,1,,2,2,2,,,,,2,,,,2,2,2,2,2,2,2,2,2,2,2,2,,1,,4,3,2,2,,1,2,,,,,,,,,3,500000,,,2300000,,2,2,2,3,3,,,2,4,2,2,2,2,,,,3,3,,7,2,,,,4,2,1,,,1,1,,,,1,3,3,,,,2,2,2,2,1,2,5,15,,8,1,1,1,2,2,2,1,1,,,1,,,,89,3,8,,,1,2014,26,,,,,,,1,2014,26,,,1,4,1,,,,,,,5,,,,,,47616,627616
,7,1,2,2013,575.7636243,1,1,2,1,,0,0,0,0,0,0,0,0,0,0,0,2,2,1,1,,1,,,3,1500000,,,2,2,20000,1,,2,1,1,,,2,,,,2,,2,2,2,2,1,2,2,2,2,2,2,2,2,2,,4,4,2,,2,2,2,,2,,,,,,,1,,,,,,2,2,2,3,2,,,2,1,2,2,2,2,,,,,,,5,2,,,,1,2,1,,,,2,2,,,,3,3,,120000,,2,3,2,2,1,1,2,4,2,2,2,2,2,1,2,1,2,2,1,,2,,,,72,2,7,,1996,,,,,,,,,,,,,,2,1,4,2,,7,,,,,2,,,,,,48431.25,48431.25
,8,1,2,2013,575.7636243,2,,2,,,0,0,0,0,0,0,0,0,0,0,0,2,2,1,1,,1,,,1,99999998,,,2,2,99999998,1,,2,2,1,,,2,2,,,1,1,2,1,1,1,1,2,2,2,2,1,99999998,2,2,2,,3,3,2,,2,2,2,,2,,,,,,,3,99999998,,,,,2,2,2,4,4,,,4,1,3,2,2,2,,,,,,,7,2,,,,0,2,2,,,,99999999,0,,,,99999998,3,,99999998,,2,3,2,2,1,1,2,4,1,1,1,1,2,1,2,2,2,2,1,,2,,,,88,5,5,,1976,0,,,,,,,,,,,,,1,1,4,1,,3,,,,,99999998,,,,,,51192,62452.28571
,10,1,2,2013,277.5865345,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,2,2,1,1,,1,,400,2,99999998,,,2,2,20000,1,,2,2,2,,,2,,,,2,,2,1,2,2,1,1,2,2,2,1,99999998,2,2,2,2,4,3,2,,2,2,,,1,,,,,,,3,4000,24000,,,,2,2,1,4,3,,,4,1,2,2,2,2,,1,,,,,8,2,,12,,0,2,1,,,1,1,7,1,,,3,3,,22500,,2,4,1,1,1,2,,,2,,2,1,2,2,2,2,2,2,1,,2,2,,2,120,3,3,,1961,12,2013,3,0,,99999998,,,,,,,,1,1,8,1,,6,0,,100,,3,,,,,,53626,110026
,11,1,2,2013,592.5333153,2,,2,,,0,0,0,0,0,0,0,0,0,0,0,2,2,1,1,,6,,,2,,,,2,2,,,,,,,,,,,2,,,,2,2,2,2,1,1,2,2,2,2,2,2,,2,,4,3,2,2,,2,1,10,,,,,,,,3,,,,,,2,2,2,4,1,1,,3,1,2,2,2,2,,,,,,,1,2,,,,0,2,1,,,,2,,,,,3,3,,,,2,4,2,,1,1,1,1,,2,1,1,2,1,2,1,1,2,,,2,,,,90,4,6,,,,,,,,,,,,,,,,,4,4,2,,,,,,,1,,,,,,61491.75,61491.75
,13,1,2,2013,565.032516,2,,2,,,0,0,0,0,0,0,0,0,0,0,0,2,2,2,,,2,99999998,,2,,,,2,2,,,,,,,,,,,2,,,,2,2,2,2,1,2,2,2,2,2,1,2,,2,,4,5,2,2,,2,2,,,,,,,,,3,,,,,,2,2,2,3,3,,,2,,1,2,2,2,,,,,,,1,2,,,,0,2,2,,,,2,,,,,5,5,,,,2,2,2,,2,2,2,5,,2,2,1,1,2,2,2,2,2,,,2,,,,48,6,99999998,,,,,,,,,,,,,,,,,4,4,2,,,,,,,99999998,,,,,,45726.5,45726.5
,15,1,2,2013,934.5698733,2,,1,,1,0,0,0,0,0,0,0,0,0,0,0,2,1,,1,1,2,3700,,1,,,,2,2,99999998,1,,2,2,1,,,,,2,,,,2,2,2,2,2,2,2,2,2,2,2,1,,2,2,4,3,2,2,,2,2,,,,,,,,,3,,,,,,2,2,2,3,3,,,99999998,1,2,2,2,2,,,,,,,99999998,2,,12,,1,2,1,,,,99999999,,,,,3,3,,,,2,,2,1,1,1,2,3,,2,99999998,2,2,1,2,2,2,2,,,2,99999998,,,99999998,3,99999998,,,,,,,,,,,,,,,,,1,4,2,,,,,,,99999999,,,,,,1863.666667,155503.6667
,17,1,2,2013,481.9796304,2,,1,,1,0,0,0,0,0,0,0,0,0,0,0,3,3,2,1,,1,,,2,1250000,,,2,2,99999998,1,,2,2,1,,,2,,,,2,,2,2,2,2,1,2,2,2,2,2,2,2,2,2,,4,3,2,,2,2,1,99999998,1,,,,,,,3,,,,,,2,2,1,3,3,1,,3,1,1,2,2,2,,,,,,,4,2,,,,0,2,2,,,,2,7,,,,99999998,4,,18000,,2,3,2,2,1,2,1,2,1,2,2,2,1,2,2,2,2,2,1,,2,,,,57,2,2,,1962,,,,,,,,,,,,,,1,1,2,2,,8,,,,,3,,,,,,21299,21299
,18,1,2,2013,876.3408427,2,,1,,1,96000,0,0,0,0,0,0,0,0,0,0,2,2,1,1,,1,,,1,800000,,,2,2,99999998,1,,2,2,2,2,,2,,,,2,,1,2,2,2,2,2,2,2,2,2,1,2,1,1,,3,3,2,,2,2,2,,2,,,,,,,3,,,,,,2,2,2,4,4,,,3,,2,2,2,2,,,,,,,5,2,,,,0,2,1,,,,2,,,,,3,3,,99999998,,2,3,2,2,2,1,2,3,2,2,2,1,2,2,2,2,1,2,1,,2,,,,85,5,4,,1973,,,,,,,,,,,,,,2,1,4,2,,5,,,,,3,,,,,,75143.5,171143.5
,19,1,2,2013,393.2894772,2,,1,,1,144000,0,0,0,0,0,4000,0,0,39600,0,2,2,1,1,,1,,,1,99999998,,,2,2,0,1,,2,2,1,2,,2,2,,,1,1,2,1,2,2,2,1,2,2,1,1,2,2,1,2,,3,4,1,,2,1,1,60,2,,,,,,,3,,200000,,,,1,2,2,5,5,1,,3,,4,2,2,2,,,,,,,1,2,,,,0,2,2,,,,2,2,1,,,3,3,,350000,,2,3,1,2,,1,,,1,,2,2,2,1,2,2,1,2,1,,2,,,,200,5,8,,2008,,,,1,2014,1,,,,,,,,2,1,5,2,,7,100,,,,4,,,,,,109380,296980
,21,1,2,2013,811.6264653,2,,1,,1,0,0,0,0,0,0,0,0,0,0,0,2,2,1,1,,2,4000,,3,,,,2,2,75000,1,,2,2,1,,,,2,1,1,,,1,2,2,2,2,2,2,2,2,2,2,2,,2,,1,2,2,2,,1,2,,,,,,,,,2,200000,,,99999998,,1,2,1,3,3,,,3,1,2,2,2,2,,,,,,,1,2,,,,0,2,2,,,1,2,,,,,3,3,,,,2,4,2,2,1,1,2,4,,2,2,2,2,1,2,1,1,2,,,1,,,,60,5,4,,,1,2014,9,,,,,,,0,,,,,1,4,1,,,,,,,4,,,,,,0,432000
,22,1,2,2013,1623.821598,2,,1,,2,0,0,0,0,0,0,0,0,0,0,0,6,2,1,1,4,1,,,3,2800000,,,1,1,50000,1,,2,2,1,2,,99999998,,,,2,,2,2,2,2,2,2,2,2,2,2,2,2,1,2,,1,1,1,,2,1,1,70,2,2,2,1,2,2,2,1,200000,,,,2,1,2,2,5,5,1,,3,,2,2,2,2,,1,,1,,,6,99999998,,,,0,2,2,,,1,1,1,,,,3,3,,1550000,,2,4,2,2,,1,2,5,2,2,2,1,1,1,2,1,2,2,1,,2,,100000,,120,4,9,,2005,12,2013,20,,,,,,,,,,,2,1,2,1,,4,,,,,5,200000,,,,,9840.833333,862540.8333
,23,1,2,2013,842.0057191,2,,2,,,0,0,0,0,0,0,0,0,0,0,0,2,2,1,1,,1,,,3,700000,,,2,2,5000,1,,1,1,1,1,,2,,,,2,,2,2,1,2,1,1,2,2,2,2,1,2,1,2,,2,2,2,,2,1,,,2,,,,,,,3,,,,,,1,2,2,3,2,,,3,,1,2,2,2,,,,,,,4,2,,,,0,2,2,,,,2,1,,,,3,3,,53000,,2,3,2,2,,1,3,4,1,3,2,2,2,1,2,2,2,2,1,,2,,,,76,1,5,,1987,,,,,,,,,,,,,,2,1,4,2,,2,,,,,1,,,,,,26712,89112
,24,1,2,2013,743.5397955,2,,1,,1,0,0,0,0,0,0,0,0,0,0,0,2,2,1,1,,1,,,3,99999998,,,2,2,6000,1,,1,2,2,,99999998,2,,,,2,,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,4,3,2,,2,1,2,,2,,,,,,,3,,,,,,1,2,1,3,2,,,2,,2,2,2,2,,,,,,,2,2,,3,2,0,2,2,,,,2,,,,,99999998,3,99999998,,,2,3,2,1,2,2,1,3,,1,2,2,2,2,2,2,2,2,2,1,2,1,,,110,1,7,99999998,,,,,,,,,,,,,,,2,1,4,2,99999998,,,,,,1,,,,,,0,66000
,25,1,2,2013,610.6480614,1,3,2,4,,0,0,0,0,0,0,0,0,0,0,0,1,1,,1,,1,,,2,,,,2,2,5000,2,,,,,,,2,,,,2,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,4,3,2,,2,2,2,,2,,,,,,,2,,,,,,2,2,2,2,2,,,2,,1,2,2,2,,,,,,,1,2,,,,0,2,2,,,,2,,,,,3,3,,,,2,4,2,99999998,2,1,1,2,,2,2,1,2,2,2,2,2,2,3,,2,,,,50,1,4,,,,,,,,,,,,,,,,2,1,4,2,,,,,,,1,,,,,,31155.75,31155.75
,28,1,2,2013,575.7636243,2,,2,,,0,0,0,0,0,0,0,0,0,0,0,2,2,1,1,,1,,,1,2000000,,,2,2,0,1,,1,2,1,,,2,,,,2,,2,2,2,2,2,2,2,2,2,2,2,1,2,2,,99999998,3,2,,2,1,2,,2,,,,,,,3,,,,,,2,2,1,3,2,,,1,,2,2,2,2,,,,,,,7,2,,,,2,1,2,,,,2,1,,,,99999998,3,,2000000,,2,,2,2,2,2,5,6,2,8,2,1,2,2,2,2,2,2,1,,2,,,,99999998,4,8,,2008,,,,,,,,,,,,,,2,1,4,2,,11,,,,,99999999,,,,,,27420,27420
,29,1,2,2013,508.2650533,2,,1,,1,0,0,0,0,0,0,0,0,0,0,0,2,2,1,1,,1,,,2,1300000,,,2,2,1500,1,,2,2,1,,,2,,,,2,,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,4,3,2,,2,2,,,2,,,,,,,3,,,,,,2,2,2,3,3,,,3,,2,2,2,2,,,,,,,4,2,,3,,1,2,2,,,,2,2,,,,3,2,,145000,,2,4,2,1,,2,4,8,1,3,2,1,1,1,2,2,2,2,1,,2,2,,,86,3,4,,1995,,,,,,,,,,,,,,2,1,4,2,,12,,,,,2,,,,,,4594,64594
,30,1,2,2013,1151.499193,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,5,3,2,1,2,1,,,2,,,,1,2,20000,1,,2,1,1,,,2,,,,2,,2,2,2,2,2,2,2,2,2,2,2,1,2,1,2,2,2,2,,2,1,2,,2,,,,,,,1,99999999,,,99999999,2,1,2,1,5,4,,,3,2,2,2,2,2,,,,,,,99999998,2,,10,,0,1,2,,0,,2,,,,,99999998,3,,,,2,4,1,1,1,1,2,3,,2,2,1,2,2,2,2,2,2,2,3,1,2,,,120,3,7,1997,,0,,,0,,,,,,0,,,,1,1,3,1,99999998,,,,,,99999998,180000,,,,,4281.666667,112281.6667
,31,1,2,2013,245.0528623,2,,1,,2,0,0,0,0,0,0,0,0,0,40800,0,3,3,1,2,,2,4000,,3,,,,2,2,99999998,1,,2,2,1,,,,,2,,,,2,2,2,2,2,2,2,2,2,2,2,2,,2,,3,2,2,2,,2,2,,,,,,,,,1,,,,,,2,2,1,4,3,,,3,1,2,2,2,2,,,,,,,3,2,,,,1,2,1,,,,2,,,,,3,3,,,,2,4,2,2,1,1,2,5,,2,2,1,2,1,2,2,2,2,,,2,,,,87,2,99999998,,,,,,,,,,,,,,,,,1,4,2,,,,,,,4,,,,,,27080,173468
,32,1,2,2013,722.9694456,2,,2,,,0,0,0,0,0,0,0,0,0,0,0,3,3,2,1,,2,250,,2,,,,2,2,13000,1,,2,2,2,,,,2,1,1,,,2,2,2,2,2,2,2,2,2,1,2,2,,2,,2,2,2,2,,1,2,,,,,,,,,3,,,,99999999,,1,2,1,4,4,,,3,3,2,2,2,2,,3,,3,,,5,2,,,,0,2,2,,,,1,,,,,2,3,,,,2,4,2,2,1,1,3,4,,3,1,1,2,1,2,2,2,2,,,1,,,,85,5,2,,,,,,,,,,,,0,,,,,1,4,2,,,,,,,2,,,,,,83314,143314
,33,1,2,2013,445.432826,1,1,1,2,1,84000,0,0,0,0,0,0,0,0,0,0,2,2,1,1,,1,,330,2,99999998,,,2,2,99999998,1,,2,2,1,2,,2,,,,2,,2,2,1,2,2,2,2,2,2,2,99999998,2,1,2,,3,3,1,,2,1,,,2,,,,,,,3,1000000,,99999998,50000,,2,1,2,5,5,,,4,,4,2,2,2,,2,,,,1250000,1,2,,,,0,2,2,,,1,1,2,,,1,99999998,3,,1850000,1,1,4,99999998,2,,1,,,1,,2,1,2,2,2,2,2,2,1,,1,,,2,270,5,6,,1999,4,2014,1,,,,0,,,4,2014,1,,2,2,8,1,,99999998,,,,,5,,,,,,68403,252403
,36,1,2,2013,313.378433,2,,1,,1,0,0,0,0,0,0,0,0,0,0,0,2,2,1,1,,1,,,1,99999998,,,2,2,9000,1,,2,2,1,1,,2,2,,,1,1,2,2,1,2,1,2,2,2,1,2,99999998,1,1,2,,4,3,1,,2,2,1,150,2,,,,,,,3,20000,,,,,1,2,1,4,3,2,,2,,2,2,2,2,,,,,,,4,2,,,,1,2,1,,,1,2,1,,,,2,4,,1480000,,2,1,1,2,,1,3,3,2,4,99999998,1,1,1,2,1,1,2,1,,2,,,,119,3,9,,2012,1,2014,14,0,,,,,,,,,,2,1,2,1,,2,20,,10,,5,,,,,,0,189024
,37,1,2,2013,863.6454364,2,,1,,1,0,0,0,0,24000,0,0,0,0,0,0,2,2,1,1,,3,,,1,,,,2,2,10000,1,,2,2,2,,,2,,,,2,,1,2,2,2,1,2,2,2,2,2,1,2,2,2,,2,2,2,,2,2,1,27,2,,,,,,,3,400000,,,,,2,2,2,3,2,1,,3,1,1,2,2,2,,,,,,,4,2,,,,0,2,1,,,1,2,,,,,4,3,,,,2,3,2,2,1,1,1,2,,2,2,1,2,1,2,2,2,2,3,,2,,,,56,4,2,,,10,2013,29,,,,,,,,,,,2,1,2,1,,,,,,,4,,,,,,48867.75,72867.75
,38,1,2,2013,707.035733,1,3,2,4,,0,0,0,0,0,0,0,0,0,0,0,2,2,1,1,,1,,,2,99999998,,,2,2,99999998,2,,,,,,,2,,,,2,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,3,3,2,,2,2,1,99999998,2,,,,,,,3,,,,,,2,2,2,4,3,1,,2,1,2,2,2,2,,,,,,,99999998,2,,,,0,2,2,,,,2,1,,,,3,3,,1000000,,2,,2,2,1,2,2,3,1,2,2,1,2,1,2,2,2,2,1,,2,,,,99999998,2,99999998,,2012,,,,,,,,,,,,,,2,1,4,2,,1,,,,,4,,,,,,43449.5,43449.5
,39,1,2,2013,338.6632461,2,,1,,,0,0,0,0,0,0,0,0,0,0,0,2,2,1,1,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
,41,1,2,2013,629.2686428,2,,2,,,0,0,0,0,0,0,0,0,0,0,0,1,1,,1,,1,,,1,1100000,,,2,2,99999998,1,,2,2,2,,,2,,,,2,,2,2,2,2,1,2,2,2,2,2,2,2,2,2,,4,3,2,,2,2,2,,2,,,,,,,1,,,,,,2,2,2,4,3,,,3,1,2,2,2,2,,2,,,,,6,2,,,,0,2,2,,,,1,7,,,,3,3,,248000,,2,4,2,2,1,1,2,3,1,2,2,1,2,1,2,2,2,2,1,,2,,,,90,5,5,,1984,,,,,,,,,,,,,,1,1,4,2,,7,,,,,1,,,,,,30503.25,30503.25
,42,1,2,2013,1077.132619,2,,2,,,0,0,0,0,0,0,0,0,0,0,0,2,2,1,1,,1,,,1,99999998,,,1,2,99999998,1,,2,2,2,,,2,,,,2,,2,2,1,2,2,2,2,2,2,2,2,2,2,2,,2,5,2,,2,2,2,,2,,,,,,,3,,,,,2,2,2,2,4,3,,,3,,1,2,2,2,,,,,,,2,2,,,,0,2,2,,,,2,,,,,99999998,3,,99999998,,2,,2,2,2,2,2,3,2,2,2,1,2,1,2,2,2,2,1,,2,,,,99999998,4,5,,1975,,,,,,,,,,,,,,1,1,4,2,,9,,,,,99999998,99999998,,,,,0,0
,44,1,2,2013,533.3352667,2,,1,,1,37200,0,0,0,0,0,0,0,0,0,0,2,2,1,1,,1,,,2,99999998,,,2,,99999998,1,,99999998,2,1,1,,2,,,,2,,1,1,2,2,1,2,1,2,2,2,99999998,2,1,2,,4,99999998,2,,2,2,2,,2,,,,,,,3,99999998,,,,,2,2,2,4,4,,,2,,2,2,2,2,,,,,,,5,2,,,,1,2,2,,,,2,1,,,,4,3,,65000,,2,1,99999998,2,2,2,3,5,2,4,2,1,1,2,2,2,2,2,1,,2,,,,110,5,4,,1972,0,,,,,,,,,,,,,1,1,4,1,,9,,,,,99999998,,,,,,161129,198329
,45,1,2,2013,2450.680518,2,,1,,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,,,1,,,1,99999998,,,1,2,99999998,1,,2,2,2,,,2,,,,2,,1,2,2,2,2,2,2,2,2,2,2,2,2,2,,2,2,2,,2,2,2,,2,,,,,,,1,,,,,2,1,2,1,4,2,,,3,1,2,2,2,2,,,,,,,6,2,,,,0,2,2,,,,2,,,,,3,3,,99999999,,2,3,2,2,1,1,2,3,1,2,2,1,2,1,2,2,2,2,1,,2,,,,80,4,2,,2012,,,,,,,,,,,,,,1,1,4,2,,10,,,,,4,99999999,,,,,0,240000
,46,1,2,2013,1253.108648,2,,1,,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,,,2,99999998,,2,,,,2,2,16000,1,,2,2,2,,,,,2,,,,2,2,1,1,1,1,2,2,2,1,2,2,,2,,3,3,2,2,,2,,,,,,,,,,3,,,,,,2,2,2,2,1,,,3,,1,2,2,2,,,,,,,7,2,,,,0,2,2,,,,2,,,,,3,2,,,,2,4,2,2,2,2,,,,,1,2,1,2,2,1,2,2,,,2,,,,40,2,9,,,,,,,,,,,,,,,,,1,8,2,,,,,,,5,,,,,,0,38926
,48,1,2,2013,1145.520138,2,,1,,1,0,0,0,0,0,0,0,0,0,0,0,2,2,1,1,,3,,,2,,,,2,1,20000,1,,1,1,1,,,,2,1,1,,,2,2,1,1,2,2,2,2,2,1,1,2,2,1,2,4,4,2,2,,1,2,,2,2,2,2,1,2,2,3,,,,,,1,2,1,3,3,,,2,,1,2,2,2,,,,,,,4,2,,12,,0,2,2,,,,2,,,,,3,4,,,,2,4,2,1,2,2,2,3,,2,2,2,2,2,2,2,2,2,,,2,2,30000,,77,5,3,,,,,,,,,,,,,,,,2,1,4,2,,,,,,,1,,,,,,0,110400
,49,1,2,2013,412.7021756,2,,2,,,72000,0,0,0,0,0,0,0,0,0,0,3,2,1,1,,1,,,1,99999998,,,2,2,99999998,2,,,,,1,,2,,,,2,,2,2,2,2,2,2,2,2,2,2,2,2,1,2,,4,2,2,,2,1,2,,2,,,,,,,3,99999998,,,99999998,,2,2,2,4,4,,,3,1,2,2,2,2,,,,,,,4,2,,,,1,1,1,,,,2,2,,,,3,3,,235000,,2,3,1,2,1,1,2,4,1,2,2,1,2,1,2,2,2,2,1,,1,,,,97,4,7,,2004,0,,,0,,,,,,0,,,,2,1,4,1,,8,,,,,5,,,,,,57004,129004
,51,1,2,2013,320.0207932,2,,1,,2,162000,0,0,0,0,0,0,0,0,0,0,3,3,2,1,,1,,,1,2200000,,,2,1,34000,1,,2,2,1,2,,2,2,,,1,1,2,2,2,2,2,2,2,2,2,1,2,2,1,2,,1,2,1,,2,1,1,16,2,2,2,2,1,2,2,1,15000,1200000,170000,,,1,1,2,5,5,1,,3,,3,2,2,2,,,,,,,8,99999998,,,,1,2,1,,,1,1,2,1,1,,3,3,,390000,,2,1,1,2,,1,3,5,1,2,2,1,2,1,2,1,1,2,1,,2,,99999998,,150,5,6,,1999,11,2013,10,11,2013,10,11,2013,10,,,,,2,1,2,1,,5,,,,,5,,,,,,25863,235863
,52,1,2,2013,363.6819702,1,1,1,1,1,60000,0,0,0,0,0,0,0,0,0,0,3,2,,2,1,1,,,1,3200000,,,2,1,10000,1,,1,2,1,1,,2,,,,2,,2,2,2,2,1,1,2,2,2,2,2,2,1,1,2,2,2,2,,2,1,1,150,2,2,2,2,1,2,2,3,99999998,,99999998,99999998,,1,1,1,5,4,1,,3,1,3,2,2,2,,,,,,,6,2,,3,,0,2,1,,,,2,1,,,,3,3,,1250000,,2,3,1,1,1,1,,,2,,2,1,2,2,2,2,2,2,1,,1,2,99999998,,160,3,8,,2003,0,,,0,,,0,,,0,,,,2,1,5,1,,3,,,,,3,,,,,,39852.75,99852.75
,54,1,2,2013,610.6480614,2,,2,,,48000,0,0,0,0,0,0,92,0,0,0,1,1,,1,,1,,,2,4000000,,,2,2,8000,1,,1,2,1,,,99999998,,,,2,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,4,4,2,,2,2,1,20,1,,,,,,,3,,,,200000,,2,2,2,4,2,1,,3,1,2,2,2,2,,4,,,,,5,2,,,,0,2,2,,,,1,7,,,1,99999998,3,,11000,,2,3,1,2,1,1,,,1,,2,2,2,1,2,2,2,2,1,,1,,,,132,5,2,,1961,,,,0,,,,,,2,2014,20,,1,1,5,2,,8,,,,,2,,,,,,32834.33333,80926.33333
,55,1,2,2013,438.1704213,2,,1,,1,180000,0,0,0,0,0,0,0,0,0,0,2,2,1,1,,2,9000,,2,,,,2,2,60000,1,,2,2,1,,,,,2,,,,1,2,99999998,2,1,1,2,2,1,1,1,2,,2,,1,1,2,2,,2,2,,,,,,,,,2,,1800000,3200000,,,2,1,2,3,3,,,2,,2,2,2,2,,,,,,,4,2,,,,3,2,2,,,,2,,1,1,,99999998,2,,,,2,2,1,2,2,2,5,15,,8,99999998,1,1,1,2,1,1,1,,,2,,,,70,2,6,,,,,,10,2013,13,10,2013,13,,,,,,1,4,2,,,,,100,,5,,,,,,59649.75,239649.75
