Siduri,wave,s_seker,MishkalPrat,MishkalOrech,MisparPrat,NifkadGalKodem,k_ShnatAliya,yachas1,MatzavBriut,BeayaBriut,BeayaMafria,KoshiHalicha,KoshiLevush,KoshiLehitrachetz,KoshiMB,KoshiZikaron,KoshiReia,KoshiShmia,dat,MaonGanYesodi,Limudim,MaonGan,BateySeferLamad,BSYsh,Kita,TeudaGvoha,TeudaEretz,KriaHanaa,IvritDibur,IvritKria,IvritKtiva,SafaNosefetIvrit,SafaNosefetAravit,SafaNosefetAnglit,SafaNosefetRusit,SafaNosefetZarfatit,SafaNosefetSfaradit,SafaNosefetIdish,SafaNosefetAcheret,SafaNosefetLoYodea,K_Gova,K_Mishkal,K_ShnLimKlali,M_eretz,M_eretzav,M_eretzem,SemelAnaf1,SemelMishlach1,SemelAnafY1,SemelMishlachY1,c_SachLemaase,ShaotBdk,MikumAvoda1,MikumAvodaY1,KamaAvadK,TchunatAvodaShvuit,TchunatAvodaBederechKlal,TchunatAvodaShnatit,PaamAchronaChashavAni,Shana,hatavotLoBBruto,KamaAvadN2,KamaAvadNY1,Avad12Hodashim1,K_SafaIkarit,K_SfatEm,K_sug_mosad,K_SemelMiktzLim1,K_SemelMiktzLim2,AchAcherZ1,AchnHartzaa1,AchnMeshekBayit1,AchnShiurPrati1,AchnSmartafut1,AvadShana1,Bituach1,ChipesChodesh1,ChipesShana1,HashavAni1,HavraaKalul1,HishtatfutKalul1,IkaritPachot351,KamaAvadY1,MaanakKalul1,MamadAvoda1,MamadAvoday1,MatanaKalul1,Mazav1,MekabelSachar1,MekabelSacharY1,MekomotAvoda1,Min1,MisparAv1,MisparEm1,misparhodashimachacher1,misparhodashimbituah1,misparhodashimhartzaa1,misparhodashimmeshekbayit1,misparhodashimshiurprati1,misparhodashimsmartafut1,MisparMeshivP1,MisraMelea1,MisraMeleaY1,Ofen_Mehush1,Oved351,Oved35Y1,pidyonkalul1,pitzuyimkalul1,rechevkalul1,schumachacherz1,schumachnhartzaa1,schumachnshiurprati1,schummeshekbayit1,schumsmartafut1,ShaotAvodaY1,SibaIkarit12Chod1,SibaLoZamin1,tashlumacherkalul1,Tlush1,Yamim1,YamimY1,Zminut1,BrutoSachirnew,BrutoAzmaiShnatinew,schumbituach1,achnbruavodkodem1,SacShnati_LePratnew,gilm
2,2,2013,677.7897086,815.615542,1,1,,1,2,99999998,,,,,,1,1,1,1,,1,,1,,,2,,4,1,1,1,0,0,1,0,0,0,0,0,0,7,8,4,1,1,1,,,,,0,0,,,0,6,0,5,,,0,,0,0,1,1,,,,0,0,0,0,0,2,0,2,2,4,0,0,,,0,,,0,5,,,,1,,,0,0,0,0,0,0,,,,,,,0,0,0,0,0,0,0,0,,99999999,99999999,0,,,,2,0,0,0,0,0,49
2,2,2013,727.2001424,1300.239452,2,1,,6,3,1,1,3,1,1,1,1,1,1,1,,1,,1,,,7,,2,1,2,3,0,1,0,0,0,0,0,1,0,4,6,2,1,3,3,H,8,,,998,998,1,,0,6,0,2,,2013,0,12,12,12,1,1,,,,0,0,0,0,0,,2,,,4,0,0,,,0,2,,0,4,,,1,1,,,0,0,0,0,0,0,,,,1,2,,0,0,0,0,0,0,0,0,,,,0,,9,,,0,18000,0,0,18000,80
4,2,2013,574.1023495,377.0165766,1,1,,1,2,1,3,2,2,3,3,1,2,2,1,,1,,1,,,7,,2,1,1,1,0,1,0,0,0,0,0,0,0,99999998,99999998,2,1,1,1,,,,,0,0,,,0,6,0,5,,,0,,0,0,1,1,,,,0,0,0,0,0,2,0,2,2,4,0,0,,,0,,,0,4,,,,2,,,0,0,0,0,0,0,,,,,,,0,0,0,0,0,0,0,0,,3,5,0,,,,2,0,0,0,0,0,80
6,2,2013,499.0766414,670.2446812,1,1,1,1,3,1,3,2,1,1,1,2,1,2,1,,1,,1,,,2,,2,1,1,1,0,1,1,0,0,0,0,0,0,5,8,4,2,,,,,,,0,0,,,0,6,0,5,,,0,,0,0,1,1,,,,0,0,0,0,0,2,0,2,2,4,0,0,,,0,,,0,1,,,,1,,,0,0,0,0,0,0,,,,,,,0,0,0,0,0,0,0,0,,3,5,0,,,,2,0,0,0,0,0,80
6,2,2013,482.927562,644.7385677,2,1,,2,2,1,3,2,1,1,1,1,2,2,1,,1,,1,,,3,,2,1,1,1,0,0,1,0,0,0,0,0,0,2,8,5,1,2,2,,,,,0,0,,,0,6,0,5,,,0,,0,0,1,1,,,,0,0,0,0,0,2,0,2,2,4,0,0,,,0,,,0,1,,,,2,,,0,0,0,0,0,0,,,,,,,0,0,0,0,0,0,0,0,,3,5,0,,,,2,0,0,0,0,0,80
7,2,2013,587.413299,834.4021386,1,1,,1,3,1,1,2,2,1,2,2,1,1,1,,1,,1,,,7,,4,2,2,2,1,1,1,0,1,0,0,0,0,4,9,3,1,2,2,,,,,0,0,,,0,6,0,5,,,0,,0,0,1,10,,,,0,0,0,0,0,2,0,2,2,3,0,0,,,0,,,0,1,,,,2,,,0,0,0,0,0,0,,,,,,,0,0,0,0,0,0,0,0,,3,5,0,,,,2,0,0,0,0,0,80
7,2,2013,627.0610354,715.5597105,2,1,2,2,4,1,1,2,1,1,1,2,2,3,1,,3,,,,,,,2,2,2,2,1,0,0,0,0,0,0,0,0,7,6,1,2,,,,,,,0,0,,,0,6,0,5,,,0,,0,0,1,13,,,,0,0,0,0,0,2,0,2,2,1,0,0,,,0,,,0,1,,,,1,,,0,0,0,0,0,0,,,,,,,0,0,0,0,0,0,0,0,,3,5,0,,,,2,0,0,0,0,0,80
8,2,2013,627.0610354,679.5809516,1,1,2,1,1,2,,,,,,1,1,2,1,,1,,1,,,1,,2,1,1,2,1,0,0,0,0,0,0,0,0,5,9,4,2,,,N,4,,,998,998,1,,0,6,0,2,,,0,12,12,12,1,8,,,,0,0,0,0,0,,2,,,3,0,0,,,0,1,,0,1,1,,1,1,,,0,0,0,0,0,0,,2,,,2,,0,0,0,0,0,0,0,0,,,,0,,9,,,219.5,0,0,0,2634,74
8,2,2013,587.413299,0,2,0,,2,3,1,2,1,1,1,1,2,2,2,1,,1,,1,,,1,,3,1,1,1,0,0,0,0,0,0,1,0,0,4,2,4,1,2,2,P,4,,,998,998,1,,0,6,0,2,,,0,12,12,12,1,1,,,,0,0,0,0,0,,2,,,4,0,0,,,0,1,,0,1,1,,1,2,,,0,0,0,0,0,0,,2,,,2,,0,0,0,0,0,0,0,0,,,,0,,9,,,718.8571429,0,0,0,8626.285714,71
10,2,2013,300.9526478,1415.017371,1,1,,1,2,1,2,1,1,1,1,2,2,1,1,,1,,1,,,7,,3,1,1,1,0,0,1,0,0,0,0,0,0,4,10,4,1,4,3,Q,3,,,998,998,3,,0,6,0,2,,,0,12,12,12,1,1,,,,1,2,2,2,2,,2,,,1,0,0,,,0,1,,0,1,1,,1,2,,,12,0,0,0,0,0,,2,,,2,,0,0,0,3500,0,0,0,0,,,,0,2,9,,,1200,0,0,0,56400,77
10,2,2013,311.0164929,523.4934405,2,1,,2,2,1,4,,,,,2,1,1,1,,1,,1,,,7,,3,1,1,1,1,0,0,0,0,0,1,0,0,5,9,3,1,2,2,,,,,0,0,,,0,6,0,5,,,0,,0,0,1,13,,,,0,0,0,0,0,2,0,2,2,3,0,0,,,0,,,0,1,,,,1,,,0,0,0,0,0,0,,,,,,,0,0,0,0,0,0,0,0,,3,5,0,,,,2,0,0,0,0,0,78
11,2,2013,862.8133084,1515.488883,1,1,,1,2,1,2,2,1,1,1,2,1,1,1,,1,,1,,,3,,4,1,1,1,0,1,1,0,0,0,1,0,0,2,7,5,1,1,1,O,4,,,20,20,1,,0,2,3,1,,,0,12,12,12,1,1,,,,0,0,0,0,0,,0,,,4,0,0,,,0,5,,0,1,,,1,1,,,0,0,0,0,0,0,,,,,,,0,0,0,0,0,0,0,0,,,,0,,5,,,0,0,0,0,0,80
11,2,2013,823.8705381,863.5221453,2,1,,2,1,2,,,,,,1,1,1,1,,1,,1,,,3,,4,1,1,1,0,0,1,0,0,0,0,0,0,4,2,5,1,2,2,C,7,,,20,20,1,,0,2,3,1,,,0,12,12,12,1,1,,,,0,0,0,0,0,,0,,,4,0,0,,,0,5,,0,1,,,1,2,,,0,0,0,0,0,0,,,,,,,0,0,0,0,0,0,0,0,,,,0,,5,,,0,0,0,0,0,80
13,2,2013,652.648164,414.1248345,1,1,,1,4,1,1,3,1,1,2,2,2,2,1,,1,,1,,,7,,2,1,1,1,1,1,1,0,0,0,0,0,0,6,5,3,1,1,2,,,,,0,0,,,0,6,0,5,,,0,,0,0,1,10,,,,0,0,0,0,0,2,0,2,2,4,0,0,,,0,,,0,3,,,,1,,,0,0,0,0,0,0,,,,,,,0,0,0,0,0,0,0,0,,3,5,0,,,,2,0,0,0,0,0,76
15,2,2013,1225.231912,2241.649475,1,1,,1,1,2,,,,,,1,1,1,1,,1,,1,,,1,,2,1,1,1,0,0,1,0,0,0,0,0,0,4,4,5,1,1,1,M,4,,,40,40,2,,0,1,1,1,,,0,12,12,12,1,1,,,,0,0,0,0,0,,2,,,4,0,0,,,0,1,,0,5,1,,1,2,,,0,0,0,0,0,0,,,,,,,0,0,0,0,0,0,0,0,,,,0,,5,,,12803.33333,0,0,0,153640,46
15,2,2013,947.2550664,1225.498933,2,1,,3,1,,,,,,,1,1,1,1,2,,,,,,,,,,,,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,,,,,0,0,,,0,,0,,,,0,,0,0,1,1,,,,0,0,0,0,0,,0,,,,0,0,,,0,,,0,,,,,2,,1,0,0,0,0,0,0,1,,,,,,0,0,0,0,0,0,0,0,,,,0,,,,,0,0,0,0,0,5
17,2,2013,522.5507288,624.9919694,1,1,,1,4,1,1,3,2,2,2,2,2,1,1,,1,,1,,,7,,4,1,1,1,1,0,0,0,0,0,0,0,1,5,8,2,1,3,3,,,,,0,0,,,0,6,0,5,,,0,,0,0,1,1,,,,0,0,0,0,0,2,0,2,2,1,0,0,,,0,,,0,1,,,,2,,,0,0,0,0,0,0,,,,,,,0,0,0,0,0,0,0,0,,2,2,0,,,,2,0,0,0,0,0,78
18,2,2013,766.463554,896.2256903,1,1,2,1,2,1,2,2,1,1,1,1,1,2,1,,1,,1,,,4,1,4,1,1,1,1,1,1,0,0,0,1,0,0,9,9,6,4,,,,,,,0,0,,,0,6,0,5,,,0,,0,0,1,6,1,99999998,,0,0,0,0,0,2,0,2,2,4,0,0,,,0,,,0,1,,,,1,,,0,0,0,0,0,0,,,,,,,0,0,0,0,0,0,0,0,,3,5,0,,,,2,0,0,0,0,0,80
18,2,2013,1026.001869,1433.995998,2,1,,2,2,1,4,,,,,1,1,1,1,,1,,1,,,2,,4,1,1,1,0,0,0,0,1,0,0,0,0,4,9,5,1,3,3,,,,,0,0,,,0,6,0,5,,,0,,0,0,1,1,,,,0,0,0,0,0,2,0,2,2,4,0,0,,,0,,,0,1,,,,2,,,0,0,0,0,0,0,,,,,,,0,0,0,0,0,0,0,0,,3,5,0,,,,2,0,0,0,0,0,77
19,2,2013,442.8114655,385.3817656,1,1,,1,1,2,,,,,,1,1,1,1,,1,,1,,,2,,3,1,1,1,1,0,0,0,0,0,0,0,0,4,5,5,1,3,3,,,,,0,0,,,0,6,0,5,,,0,,0,0,1,2,,,,0,0,0,0,0,2,0,2,2,4,0,0,,,0,,,0,1,,,,2,,,0,0,0,0,0,0,,,,,,,0,0,0,0,0,0,0,0,,3,5,0,,,,2,0,0,0,0,0,68
19,2,2013,443.9552322,339.0643986,2,1,3,2,1,2,,,,,,1,1,2,1,,1,,1,,,2,,4,1,1,1,1,0,0,0,1,0,0,0,0,7,10,5,4,,,,,,,0,0,,,0,6,0,5,,,0,,0,0,1,2,,,,0,0,0,0,0,2,0,2,2,4,0,0,,,0,,,0,1,,,,1,,,0,0,0,0,0,0,,,,,,,0,0,0,0,0,0,0,0,,3,5,0,,,,2,0,0,0,0,0,68
21,2,2013,967.053213,928.7413362,1,1,,1,2,1,4,,,,,1,1,2,1,,1,,1,,,6,1,2,1,1,1,0,1,1,0,1,0,0,0,0,5,6,6,1,3,1,O,1,,,60,60,1,,0,1,1,1,,,0,12,12,12,1,1,1,5,,0,0,0,0,0,,2,,,4,0,0,,,0,1,,0,1,1,,1,1,,,0,0,0,0,0,0,,,,,,,0,0,1,0,0,0,0,0,,,,0,2,5,,,30000,0,0,0,360000,65
21,2,2013,1125.557608,1582.954103,2,1,,2,1,1,4,,,,,1,1,1,1,,1,,1,,,7,,2,1,1,1,0,0,1,0,0,0,0,0,0,5,3,6,1,1,1,Q,2,,,35,35,1,,0,1,1,1,,,0,12,12,12,1,1,,,,0,0,0,0,0,,2,,,4,0,0,,,0,1,,0,1,1,,1,2,,,0,0,0,0,0,0,,,,,,,0,0,0,0,0,0,0,0,,,,0,2,5,,,6000,0,0,0,72000,59
22,2,2013,2007.987772,1650.355831,1,1,,1,1,2,,,,,,1,1,1,1,,1,,1,,,5,1,2,1,1,1,0,0,1,0,0,0,0,0,0,7,11,6,1,1,3,K,1,,,60,60,1,,0,1,1,1,,,0,12,12,12,1,1,1,5,10,0,0,0,0,0,,2,,,4,0,0,,,0,1,,0,1,1,,1,1,,,0,0,0,0,0,0,,,,,,,0,0,1,0,0,0,0,0,,,,0,1,5,,,53000,0,0,0,636000,47
22,2,2013,1587.91998,1311.822501,2,1,,2,1,2,,,,,,1,1,1,1,,1,,1,,,4,1,3,1,1,1,0,0,1,0,0,1,0,0,0,3,5,6,1,2,2,O,2,,,45,45,3,,0,1,1,1,,,0,12,12,12,1,1,1,6,,0,0,0,0,0,,2,,,4,0,0,,,0,1,,0,1,1,,1,2,,,0,0,0,0,0,0,,,,,,,0,0,0,0,0,0,0,0,,,,0,1,5,,,18000,0,0,0,216000,41
22,2,2013,1680.479018,1129.731018,3,1,,3,1,2,,,,,,1,1,1,1,,2,,2,1,10,,,2,1,1,1,0,0,1,0,0,0,0,0,0,99999998,99999998,1,1,1,1,,,O,4,0,0,,1,0,6,0,1,,,0,,1,1,1,1,,,,2,2,2,2,1,1,2,2,,,0,0,,1,0,,99999998,0,,,1,,2,1,2,0,0,0,0,0,0,1,,,,,,0,0,0,0,0,0,0,0,40,,1,0,2,,5,2,700,0,0,0,700,15
22,2,2013,1683.199714,1129.731018,4,1,,3,1,,,,,,,1,1,1,1,,2,,,1,6,,,1,,,,1,0,0,0,0,0,0,0,1,99999998,99999998,1,1,1,1,,,,,0,0,,,0,,0,,,,0,,0,0,1,1,,,,0,0,0,0,0,,0,,,,0,0,,,0,,,0,,,,,1,1,2,0,0,0,0,0,0,1,,,,,,0,0,0,0,0,0,0,0,,,,0,,,,,0,0,0,0,0,11
22,2,2013,1683.199714,1129.731018,5,1,,3,1,,,,,,,1,1,1,1,,2,,,1,3,,,1,,,,1,0,0,0,0,0,0,0,1,99999998,99999998,1,1,1,1,,,,,0,0,,,0,,0,,,,0,,0,0,1,1,,,,0,0,0,0,0,,0,,,,0,0,,,0,,,0,,,,,2,1,2,0,0,0,0,0,0,1,,,,,,0,0,0,0,0,0,0,0,,,,0,,,,,0,0,0,0,0,8
22,2,2013,1683.199714,1129.731018,6,1,,3,1,,,,,,,1,1,1,1,,2,,,1,9,,,2,,,,1,0,0,0,0,0,0,0,1,99999998,99999998,1,1,1,1,,,,,0,0,,,0,,0,,,,0,,0,0,1,1,,,,0,0,0,0,0,,0,,,,0,0,,,0,,,0,,,,,2,1,2,0,0,0,0,0,0,1,,,,,,0,0,0,0,0,0,0,0,,,,0,,,,,0,0,0,0,0,14
23,2,2013,943.4091111,772.3141122,1,1,1,1,4,1,1,3,1,2,4,4,3,3,1,,1,,3,,,7,,5,2,2,2,1,0,0,0,0,0,0,0,1,2,3,1,2,,,,,,,0,0,,,0,6,0,5,,,0,,0,0,1,1,,,,0,0,0,0,0,2,0,2,2,1,0,0,,,0,,,0,4,,,,1,,,0,0,0,0,0,0,,,,,,,0,0,0,0,0,0,0,0,,2,2,0,,,,2,0,0,0,0,0,80
23,2,2013,1116.335612,1659.580387,3,1,,3,3,1,1,3,1,1,2,2,3,1,1,,1,,1,,,1,,5,1,1,1,1,0,0,0,0,0,0,0,1,2,9,4,1,2,1,H,4,,,40,40,2,,0,1,1,1,,,0,12,12,12,1,1,,,,0,0,0,0,0,,2,,,2,0,0,,,1,1,,1,5,1,,1,2,,,0,0,0,0,0,0,,,,,,,0,0,0,0,0,0,0,0,,,,0,1,5,,,5200,0,0,0,62400,51
24,2,2013,790.185919,835.8219567,1,1,5,1,3,1,3,3,1,1,1,2,1,2,3,,1,,1,,,7,,5,4,5,5,1,0,0,0,0,0,0,0,1,8,10,3,1,1,1,,,,,0,0,,,0,6,0,5,,,0,,0,0,2,2,,,,0,0,0,0,0,2,0,2,2,3,0,0,,,0,,,0,1,,,,1,,,0,0,0,0,0,0,,,,,,,0,0,0,0,0,0,0,0,,3,5,0,,,,2,0,0,0,0,0,66
24,2,2013,1098.316561,2055.66326,2,1,,2,2,2,,,,,,1,1,1,3,,1,,1,,,2,,1,1,1,1,1,0,0,0,0,0,0,0,0,6,7,5,1,1,1,P,4,,,40,40,1,,0,1,1,1,,,0,12,12,12,2,2,,,,0,0,0,0,0,,2,,,3,0,0,,,0,1,,0,1,1,,1,2,,,0,0,0,0,0,0,,,,,,,0,0,0,0,0,0,0,0,,,,0,2,5,,,5500,0,0,0,66000,58
25,2,2013,662.0499486,718.0720624,1,1,,1,3,2,,,,,,1,1,1,1,,1,,1,,,7,,5,2,2,2,0,1,0,0,0,0,0,0,0,4,99999998,1,1,1,3,,,,,0,0,,,0,6,0,5,,,0,,0,0,1,1,,,,0,0,0,0,0,2,0,2,2,4,0,0,,,0,,,0,4,,,,2,,,0,0,0,0,0,0,,,,,,,0,0,0,0,0,0,0,0,,3,5,0,,,,2,0,0,0,0,0,80
28,2,2013,485.5797524,532.707182,1,1,1,1,3,2,,,,,,2,2,3,1,,1,,1,,,4,1,4,1,1,1,1,0,0,0,0,0,0,0,0,4,4,5,2,,,,,,,0,0,,,0,6,0,5,,,0,,0,0,1,5,1,99999998,,0,0,0,0,0,2,0,2,2,4,0,0,,,0,,,0,4,,,,1,,,0,0,0,0,0,0,,,,,,,0,0,0,0,0,0,0,0,,3,5,0,,,,2,0,0,0,0,0,80
29,2,2013,695.0386787,867.9898797,1,1,,1,2,1,2,2,1,1,1,2,1,1,1,,1,,1,,,7,,1,1,1,1,1,0,0,0,0,0,0,0,1,4,5,4,1,3,3,P,5,,,50,50,2,,0,1,1,1,,,0,12,12,12,1,1,,,,0,0,0,0,0,,2,,,3,0,0,,,0,1,,0,1,1,,1,2,,,0,0,0,0,0,0,,,,,,,0,0,0,0,0,0,0,0,,,,0,2,5,,,5000,0,0,0,60000,62
30,2,2013,1838.804823,2244.415956,1,1,,1,2,2,,,,,,1,1,1,1,,1,,1,,,7,,1,1,1,1,0,1,1,0,0,0,0,0,0,6,9,4,1,3,3,G,5,,,43,47,1,,0,1,1,1,,,0,12,12,12,1,1,,,,0,0,0,0,0,,2,,,4,1,0,,,0,1,,0,1,1,,1,1,,,0,0,0,0,0,0,,,,,,,0,0,0,0,0,0,0,0,,,,0,2,6,,,9000,0,0,0,108000,48
30,2,2013,1193.605945,1143.782589,5,1,,3,2,,,,,,,1,1,1,1,,2,,,1,2,,,2,,,,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,,,,,0,0,,,0,,0,,,,0,,0,0,1,1,,,,0,0,0,0,0,,0,,,,0,0,,,0,,,0,,,,,1,1,2,0,0,0,0,0,0,1,,,,,,0,0,0,0,0,0,0,0,,,,0,,,,,0,0,0,0,0,8
31,2,2013,315.5431792,750.9968295,1,1,,1,1,2,,,,,,1,1,1,1,,2,,1,,,3,,2,1,1,1,0,0,1,0,0,0,0,0,0,4,6,6,1,1,1,O,3,,,50,50,1,,0,1,1,1,,,0,12,12,12,1,1,1,5,1,0,0,0,0,0,,2,,,4,0,0,,,0,1,,0,5,1,,1,2,,,0,0,0,0,0,0,,,,,,,0,0,1,0,0,0,0,0,,,,0,1,5,,,8799,0,0,0,105588,29
31,2,2013,266.8857411,405.7414978,2,1,,6,2,2,,,,,,1,1,1,1,,1,,1,,,2,,3,1,1,1,1,0,0,0,0,0,0,0,1,6,11,4,1,3,1,,,,,0,0,,,0,6,0,5,,,0,,0,0,1,1,,,,0,0,0,0,0,2,0,2,2,4,0,0,,,0,,,0,1,,,,1,,,0,0,0,0,0,0,,,,,,,0,0,0,0,0,0,0,0,,3,5,0,,,,2,0,0,0,0,0,68
31,2,2013,303.9287485,507.4876785,4,1,,6,2,1,2,2,1,1,2,1,2,2,1,,1,,1,,,2,,3,1,1,1,0,1,0,0,0,0,0,0,0,3,99999999,5,1,4,4,,,,,0,0,,,0,6,0,5,,,0,,0,0,1,1,,,,0,0,0,0,0,2,0,2,2,4,0,0,,,0,,,0,1,,,,2,,,0,0,0,0,0,0,,,,,,,0,0,0,0,0,0,0,0,,2,5,0,,,,2,0,0,0,0,0,60
32,2,2013,983.1775915,1708.293774,1,1,,1,2,1,4,,,,,2,1,1,1,,1,,1,,,7,,2,1,1,1,0,0,1,0,0,0,0,0,0,4,5,4,1,2,3,R,5,,,35,35,1,,0,1,1,1,,,0,12,12,12,1,1,,,,0,0,0,0,0,,2,,,2,0,0,,,0,1,,0,5,1,,1,1,,,0,0,0,0,0,0,,,,,,,0,0,0,0,0,0,0,0,,,,0,2,4,,,5000,0,0,0,60000,38
32,2,2013,810.0372082,974.5753495,2,1,1,6,3,1,1,3,1,1,3,2,1,2,1,,1,,1,,,3,,4,1,1,1,1,0,0,0,1,0,0,0,0,4,5,3,2,,,,,,,0,0,,,0,6,0,5,,,0,,0,0,1,5,,,,0,0,0,0,0,2,0,2,2,4,0,0,,,0,,,0,1,,,,1,,,0,0,0,0,0,0,,,,,,,0,0,0,0,0,0,0,0,,2,2,0,,,,2,0,0,0,0,0,80
32,2,2013,783.8260932,943.504496,3,1,2,6,1,1,4,,,,,1,1,1,1,,1,,1,,,3,,4,1,1,1,1,0,1,0,0,0,0,0,0,3,6,5,3,,,,,P,2,0,0,,2,0,6,0,1,,,0,,2,2,1,2,,,,0,0,0,0,0,1,2,2,2,4,0,0,,2,0,,1,0,1,,1,,2,,,0,0,0,0,0,0,,,2,,,2,0,0,0,0,0,0,0,0,22,,5,0,,,4,2,0,0,0,0,0,69
33,2,2013,524.6064455,912.0731754,1,1,2,1,2,1,4,,,,,1,1,1,1,,1,,1,,,4,1,3,1,1,1,1,0,1,0,1,0,0,0,0,3,5,6,3,,,M,2,,,40,40,2,,0,1,1,1,,2013,0,12,12,12,1,10,1,1,2,0,0,0,0,0,,2,,,4,0,0,,,0,3,,0,1,,,1,2,,,0,0,0,0,0,0,,,,1,,,0,0,0,0,0,0,0,0,,,,0,,5,,,0,90000,0,0,90000,78
33,2,2013,607.9717323,866.3964844,2,1,2,2,2,1,2,2,1,1,99999998,1,1,1,1,,1,,1,,,4,1,4,1,1,1,1,0,1,0,1,0,0,1,0,4,7,6,3,,,M,2,,,35,35,2,,0,1,1,1,,2012,0,12,12,12,1,13,1,7,,0,0,0,0,0,,2,,,4,0,0,,,0,2,,0,1,,,1,1,,,0,0,0,0,0,0,,,,2,,,0,0,0,0,0,0,0,0,,,,0,,5,,,0,10000,0,0,10000,80
36,2,2013,431.8674835,282.9759353,1,1,,1,2,1,4,,,,,2,1,1,1,,1,,1,,,3,,1,2,2,2,1,0,0,0,0,0,0,0,0,6,7,6,1,3,3,H,7,,,48,48,2,,0,3,1,1,,,0,12,12,12,1,10,,,,0,0,0,0,0,,2,,,2,0,0,,,0,1,,0,1,1,,1,1,,,0,0,0,0,0,0,,,,,,,0,0,0,0,0,0,0,0,,,,0,2,5,,,15000,0,0,0,180000,63
36,2,2013,305.8334939,367.4923721,2,1,,2,1,1,4,,,,,2,1,2,1,,1,,1,,,7,,3,1,1,1,1,0,0,0,0,0,0,0,1,3,7,4,1,2,1,,,S,5,0,0,,1,0,6,0,1,,,0,,0,0,1,1,,,,0,0,0,0,0,1,2,,2,4,0,0,,99999998,0,,2,0,1,,,,2,,,0,0,0,0,0,0,,,2,99999998,,2,0,0,0,0,0,0,0,0,999,,,0,,,,1,0,9024,0,0,9024,60
37,2,2013,881.1199484,1259.635656,1,1,,1,2,2,,,,,,2,1,3,1,,1,,1,,,7,,2,2,2,2,1,0,0,0,0,0,0,0,1,4,4,2,1,3,3,,,,,0,0,,,0,6,0,5,,,0,,0,0,1,1,,,,0,0,0,0,0,2,0,2,2,4,0,0,,,0,,,0,1,,,,2,,,0,0,0,0,0,0,,,,,,,0,0,0,0,0,0,0,0,,3,5,0,,,,2,0,0,0,0,0,74
37,2,2013,940.5915532,1073.339566,2,1,2,2,3,1,1,1,1,1,1,1,1,1,1,,1,,1,,,7,,3,2,2,2,1,1,0,0,0,0,1,1,0,7,7,2,2,,,,,,,0,0,,,0,6,0,5,,,0,,0,0,1,12,,,,0,0,0,0,0,2,0,2,2,4,0,0,,,0,,,0,1,,,,1,,,0,0,0,0,0,0,,,,,,,0,0,0,0,0,0,0,0,,2,2,0,,,,2,0,0,0,0,0,78
38,2,2013,770.0287759,1800.505297,1,1,2,1,3,1,1,4,4,4,4,1,1,1,1,,1,,1,,,7,,1,1,1,2,0,0,0,0,0,0,0,1,0,3,99999998,1,3,,,,,,,0,0,,,0,6,0,5,,,0,,0,0,1,1,,,,0,0,0,0,0,2,0,2,2,4,0,0,,,0,,,0,1,,,,1,,,0,0,0,0,0,0,,,,,,,0,0,0,0,0,0,0,0,,2,5,0,,,,2,0,0,0,0,0,76
38,2,2013,721.3414931,1103.183141,2,1,,2,2,2,,,,,,1,1,1,1,,1,,1,,,7,,2,1,1,2,1,0,0,0,0,0,0,0,1,99999998,99999998,2,1,1,1,,,,,0,0,,,0,6,0,5,,,0,,0,0,1,1,,,,0,0,0,0,0,2,0,2,2,3,0,0,,,0,,,0,1,,,,2,,,0,0,0,0,0,0,,,,,,,0,0,0,0,0,0,0,0,,3,5,0,,,,2,0,0,0,0,0,71
41,2,2013,642.0009077,828.4044538,1,1,,1,2,1,4,,,,,1,1,1,1,,1,,1,,,7,,2,1,1,1,0,0,0,0,0,0,1,0,0,3,5,3,1,2,2,,,,,0,0,,,0,6,0,5,,,0,,0,0,1,1,,,,0,0,0,0,0,2,0,2,2,4,0,0,,,0,,,0,4,,,,2,,,0,0,0,0,0,0,,,,,,,0,0,0,0,0,0,0,0,,3,5,0,,,,2,0,0,0,0,0,72
42,2,2013,1167.801292,1585.122446,1,1,2,1,3,1,2,2,1,1,2,2,1,2,1,,1,,1,,,1,,1,2,1,1,1,0,0,0,0,0,0,0,1,4,9,5,2,,,,,,,0,0,,,0,6,0,5,,,0,,0,0,1,5,,,,0,0,0,0,0,2,0,2,2,4,0,0,,,0,,,0,1,,,,2,,,0,0,0,0,0,0,,,,,,,0,0,0,0,0,0,0,0,,9,5,0,,,,2,0,0,0,0,0,67
42,2,2013,812.9094405,0,2,0,,2,2,1,2,1,1,1,1,2,1,1,1,,1,,1,,,7,,4,1,1,1,1,0,0,0,0,0,0,0,1,4,6,6,1,1,1,,,,,0,0,,,0,6,0,5,,,0,,0,0,5,5,,,,0,0,0,0,0,2,0,2,2,4,0,0,,,0,,,0,1,,,,1,,,0,0,0,0,0,0,,,,,,,0,0,0,0,0,0,0,0,,1,1,0,,,,2,0,0,0,0,0,65
