Siduri,wave,s_seker,MisparPrat,MishkalPrat,MishkalOrech,Leom,YachasKirvaKalkali,SemelAnaf1,SemelAnafY1,SemelMishlach1,SemelMishlachY1,ShaotBdk,TchunatAvodaBederechKlal,TchunatAvodaShnatit,TchunatAvodaShvuit,Yachas1,Min1,gil1,Mazav1,MisparMeshivP1,Zminut1,SibaLoZamin1,ChipesChodesh1,MekomotAvoda1,MamadAvoda1,MekabelSachar1,Yamim1,C_SachLemaase1,Oved351,MisraMelea1,IkaritPachot351,MikumAvoda11,AvadShana1,MamadAvoday1,MekabelSacharY1,YamimY1,ShaotAvodaY1,Oved35Y1,MisraMeleaY1,MikumAvodaY11,KamaAvadK1,SibaIkarit12Chod1,ChipesShana1,K_SemelMiktzLim1,K_SemelMiktzLim2,K_ShnatAliya,K_ShnLimKlali,M_eretz,M_eretzav,M_eretzem,MisparAchrai,SafaNosefetAcheret,SafaNosefetAnglit,SafaNosefetAravit,SafaNosefetIdish,SafaNosefetIvrit,SafaNosefetLoYodea,SafaNosefetRusit,SafaNosefetSfaradit,SafaNosefetZarfatit,dat,DatAteist,DatiutLoYehudi,datiutyehudi,MatzavBriut,BeayaBriut,BeayaMafria,KoshiHalicha,KoshiLevush,KoshiLehitrachetz,KoshiMB,KoshiZikaron,KoshiReia,KoshiShmia,MaonGanYesodi,Limudim,MaonGan,BateySeferLamad,BSYsh,Kita,TeudaGvoha,TeudaEretz,MiktzLim1MadaeiHevra,MiktzLim1Asakim,MiktzLim2MadaeiHevra,MiktzLim2Asakim,KriaHanaa,IvritDibur,IvritKria,IvritKtiva,misparav,misparem,K_Gova,K_Mishkal,K_SafaIkarit,K_SfatEm,K_sug_mosad,NifkadGalKodemH,Avad12Hodashim,ShanaAzmai,BrutoSachir,kamaAvadNY1,brutoazmaishnati1,schumbituach1,achnbruavodkodem1,schumsmartafut1,schummeshekbayit1,schumachnshiurprati1,schumachnhartzaa1,schumachacherz1,misparhodashimsmartafut1,misparhodashimmeshekbayit1,misparhodashimshiurprati1,misparhodashimhartzaa1,misparhodashimachacher1,rechevkalul1,havraakalul1,matanakalul1,maanakkalul1,hishtatfutkalul1,tashlumacherkalul1,pitzuyimkalul1,pidyonkalul1,achnsmartafut1,achnmeshekbayit1,achnshiurprati1,achnhartzaa1,achacherz1,bituach1,misparhodashimbituah1,kamaAvadN2,hatavotLoBBruto,SacShnati_LePrat,Tlush1,Ofen_Mehush1,HashavAni1,PaamAchronaChashavAni1,KamaAvaddY1
9,4,2016,5,1928.6184682,,1,2,Q,,2,,30,3,1,2,2,2,34,1,,,,,1,1,1,4,20,,2,,,,,,,,,,,0,,,5,,,6,1,2,2,,0,1,0,0,0,0,0,0,0,1,,,,1,1,3,1,1,1,1,1,1,1,,1,,1,,,5,1,2,,,,2,,,,,,6,6,1,1,1,1,5,,1657.5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,,0,8287.5,,,4,,
9,4,2016,6,1821.815348,,1,3,,,,,0,0,,,3,1,0,,5,,,,,,,,0,,0,,,,,,,,,,,0,,,,,,,1,1,1,,0,0,0,0,0,0,0,0,0,1,,,,1,,,,,,,,1,1,,,2,,,,,,,,,,,,,,1,5,1,1,,,,2,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,,,,
10,4,2016,1,427.30857824,1437.8856582,1,1,,,,,0,0,5,6,1,2,80,1,,,,2,,,,,0,,0,,,2,,,,,,,,0,3,2,,,,4,1,4,3,,1,0,0,0,0,0,0,0,0,1,,,,2,1,4,,,,,2,1,1,,1,,1,,,7,,,,,,2,,,,,,5,10,1,1,,1,0,,0,0,0,0,0,0,0,0,0,2000,0,0,0,0,12,0,0,0,0,0,0,0,0,2,2,2,2,1,0,0,,0,24000,,,2,2,
10,4,2016,2,449.83444322,895.49142907,1,2,,,,,0,0,5,6,2,1,80,1,,2,5,2,,,,,0,,0,,,2,,,,,,,,0,3,2,,,,3,1,2,2,,0,0,0,1,1,0,0,0,0,1,,,,1,1,4,,,,,2,1,1,,1,,1,,,7,,,,,,3,1,1,1,,,5,11,1,13,,1,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,,3,3,
11,4,2016,2,563.06927832,1032.5648355,1,1,,,,,0,0,5,6,1,2,80,4,,,,2,,,,,0,,0,,,2,,,,,,,,0,3,2,,,,5,1,2,2,,0,1,0,0,0,0,0,0,0,1,,,4,1,2,,,,,,2,1,1,,1,,1,,,3,,,,,,3,,,,,,4,2,1,1,,1,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,,4,,
12,4,2016,1,666.20558533,,1,1,,,,,0,0,5,6,1,2,68,4,,,,2,,,,,0,,0,,,2,,,,,,,,0,3,2,3,1,2,6,2,,,,1,1,0,0,0,0,0,0,1,1,,,4,2,2,,,,,,1,1,1,,1,,1,,,5,3,,,,,4,,,,,,4,6,1,1,,1,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,,4,,
13,4,2016,3,805.11874181,,1,1,,,,,25,3,1,2,1,2,48,4,,,,,1,1,1,5,25,,2,,,,,,,,,,,0,,,,,,4,1,4,4,,0,0,0,0,1,0,0,0,0,1,,,4,1,1,1,1,1,1,1,1,1,1,,1,,1,,,7,,,,,,2,1,1,1,,,4,9,1,9,,1,6,,4000,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,,0,24000,2,,2,1,
17,4,2016,1,426.31494442,1107.2711002,1,1,,,,,0,0,5,6,1,2,80,1,,2,2,2,,,,,0,,0,,,2,,,,,,,,0,2,2,,,,4,1,3,3,,0,1,1,0,0,0,0,0,0,1,,,4,2,2,,,,,,1,2,2,,1,,1,,,1,,,,,,4,,,,,,5,7,1,1,,1,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,,1,1,
17,4,2016,2,448.78842931,,1,2,,,,,0,0,5,6,2,1,80,1,,,,2,,,,,0,,0,,,2,,,,,,,,0,3,2,,,,4,1,3,3,,0,1,0,0,0,0,0,0,0,1,,,,3,2,,,,,,2,2,2,,1,,1,,,1,,,,,,4,,,,,,6,6,1,1,,1,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,,1,1,
17,4,2016,3,448.78842931,,1,3,,,,,0,0,5,6,3,1,44,5,,,,2,,,,,0,,0,,,2,,,,,,,,0,2,2,,,,4,1,1,3,,0,1,0,0,0,0,0,0,0,1,,,,2,2,,,,,,2,2,2,,1,,1,,,2,,,,,,4,,,,,,8,7,1,1,,2,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,,1,1,
