Siduri,SiduriMakorPitzul,wave,s_seker,MishkalMb,MbNifkadGalKodem,HDividendShnatit,HEsekShnatit,HHashkaotShnatit,HRibitShnatit,HSchirutShnatit,sumHAnashimShnatit,sumHGemelShnatit,sumHHishShnatit,sumHHulShnatit,sumHMilgaShnatit,sumHPensiaShnatit,sumHMosdotShnatitnew,SacShnatikolel_Lembnew,SachNefashot,Nefashot0_17,Nefashot18up,Men18up,Women18up,GodelKarkaLoChaklait,HaskaChisachon1,HaskaLoNeemanut1,HaskaNeemanut1,HaskaPikdon1,KarkaChaklaitSetach,m_HalvaaDiyur,m_HalvaaLoDiyur,m_MisgeretAshrai,m_SetachMigrashBayitprati,M_ShuviDira,m_YeshAshrai,SchumHalvaaLoDiyur1,YitraNEAgachMemshaltiBAhuz1,YitraNEAgachMemshaltiBSchum1,YitraNEMenayotBAhuz1,YitraNEMenayotBSchum1,ShanaRechishaK1,ChodeshRechishaK1,ChodeshRechishaB1,m_DmeSchirutChodeshi,MatbeaKnuya1,MatbeaBniya1,MatbeaAlutBniya1,ADechiyaMoedTashlum1,AKredit1,APrisatTushlum1,AimMekura1,AlutBniya1,AtidMechiraDira1,AtidMechiraDiraN1,BaalutDiraLLoBealim1,BaalutDiraLLoBealimKama1,BaalutDiraNosefet1,BaalutDiraNosefetKama1,BaayaBiluy1,BaayaChinuch1,BaayaChoshech1,BaayaHaznacha1,BaayaKvish1,BaayaMatos1,BaayaMifal1,BaayaRakevet1,BaayaRech1,BaayaZevel1,BaayaZihum1,ChanayaPratit1,ChederAronot1,CheshbonChasum1,ChisachonAtid1,ChisachonHayom1,DiraMedurag1,DiraNosefet121,DiraNosefetP121,GinaPratit1,GodelGinaPratit1,HagdalatDira1,HasakaPratit1,K_MispHadarim1,K_MispHadarimMegurim1,KamaGinaPratit1,KamaKivun1,KamaMirpeset1,KamaSherutim1,KarkaAcheret1,m_MechirDiraKnuyaB12,m_KesefKniyaAtidit,KarkaChaklait1,MdidaKarkaChaklait,KarkaLoChaklait1,KamaKarkaLoChaklait1,MdidaKarkaLoChaklait,m_Mechirkarka,KibelMechirDiraN1,Kivun1,KniyaAtiditDira1,Maaliyot1,MachsanBetochD1,MachsanMiD1,MazavKAtid1,MazavKAvar1,MechirBniya1,MechirKnuya1,MechiraDiraNKama1,MechiraDiraNosefet1,MekorSetach1,MirpesetChitzonit1,MirpesetSherut1,MispDirotBinyan1,MispKomotBinyan1,Mocher1,MspDirotBeKomatMegurim1,NofAntena1,NofGag1,NofKvish1,NofKvishPnimi1,NofRakevet1,NofSetachPatuch1,NofSetachYarok1,NofYam1,OfenBaalut1,OfenBaalutMigrash1,SetachBayitpratY1,SetachDira1,Sfarim1,ShanaBniya1,ShanaRechishaB1,SinuyimPnimiimBDira1,SugCheshbon1,SugDira1,k_baalut1,k_MispMeconiyot1,k_mizug1,k_ShaotOzeret1,Meconit1,Ozeret1,ShuviDiraYoter1,SinuyDira21,SinuyDiraP21,TahasokaAcheretOzeret1,TahasokaOzeretMesh1,TahasokaOzeretSiu1,TahasokaOzeretYeLed1,BituachMenahalimMb1,GemelVPizuyimMB1,kHishMB1,kNeemanutMB1,kPensiaMB1,M_ChodashimCheshbonChasum1,M_ChodashimMinus1,M_PeamimPniyaBank1,PikdonotMB1,PniyaBank1,TChisachonMB1,m_KesefMB1,m_SchumHalvaaDiyur1,ShiirochChisachonChodesh1,ShiirochChisachonShana1,ShiirochChisachonYom1,ShiirochLoNeemanutChodesh1,ShiirochLoNeemanutShana1,ShiirochLoNeemanutYom1,ShiirochNeemanutChodesh1,ShiirochNeemanutShana1,ShiirochNeemanutYom1,ShiirochPikdonChodesh1,ShiirochPikdonShana1,ShiirochPikdonYom1,ShuviDirotLoMegurim1,HalvaaLoDiyurAcher1,HalvaaLoDiyurAshrai1,HalvaaLoDiyurAvoda1,HalvaaLoDiyurBank1,HalvaaLoDiyurBituach1,HalvaaLoDiyurLising1,HeviDoch1,KesefHutzAcher1,KesefHutzD1,KesefHutzDinarY1,KesefHutzE1,KesefHutzL1,MatbeaChisachon1,MatbeaHutz1,MatbeaLoNeemanut1,MatbeaNeemanut1,MatbeaPikdon1,MenayotMB1,Minus1
232,,4,2016,648.2090297,2,0,0,0,0,0,0,0,0,0,0,0,7701.666667,7701.666667,4,2,2,1,1,,,,,,,0,0,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,2,2,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
233,,4,2016,631.5252576,1,0,0,0,0,0,0,0,0,0,0,108000,46308,154308,2,0,2,1,1,,99999998,,,,,2,1,40000,,2500000,1,25000,100,,0,,2000,5,,,2,,,2,2,1,,,2,,2,,,,,,,,,,,,,,,2,2,,3,2,2,,2,2,,,3,4,2,,,,2,2,,,2,,2,,,,,,2,1,2,2,3,3,,220000,,2,3,2,2,4,8,1,3,,,,,,,,,1,,,96,5,4,,,1,4,1,1,1,,1,2,,2,2,,,,,2,1,2,2,2,,,,2,,1,5,0,0,,,0,,,,,,,,,,2,2,2,1,2,2,,,,,,,,2,,,,1,2
234,,4,2016,631.4162691,1,0,0,0,0,0,0,0,0,0,0,0,63384,180169,2,0,2,1,1,,,,,99999999,,2,2,99999999,,99999998,1,,,,,,1973,10,,,,,,1,2,1,,,2,,2,,,,,,,,,,,,,,,,,,2,2,2,,2,,,,,,,,,,,2,,,2,,2,,,,,,2,,,,3,3,,99999998,,2,4,,,2,4,2,2,,,,,,,,,1,,,100,5,4,,,1,4,1,1,,,1,2,,2,2,,,,,2,1,1,2,1,,,,1,,2,5,0,,,,,,,,,,0,,,,,,,,,,,,,,,,,2,,,,2,2
235,,4,2016,793.1984642,2,0,0,0,0,0,200,0,0,0,0,0,29112,29312,2,0,2,1,1,,,,,,,2,2,0,,99999998,1,,,,,,2004,99999998,,,1,,,2,2,2,1,,2,1,,,1,1,2,2,2,2,1,1,2,2,2,2,99999998,1,1,,4,4,2,,2,,,2,3,4,4,,3,,2,2,,,2,,2,,,,,6,2,2,2,1,4,5,,1000000,,2,4,2,1,5,18,2,4,99999998,1,2,1,2,2,2,2,1,,,130,3,8,,2,1,4,1,,1,4,2,1,,,,2,1,1,2,2,2,2,2,2,,,,2,,2,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,2,2
238,,4,2016,811.0884292,1,0,0,0,0,0,0,0,0,0,0,108000,41340,149340,2,0,2,0,2,,,,,,,2,2,99999998,,99999998,1,,,,,,1991,12,,,2,,,2,2,1,1,,2,,,,2,,,,,,,,,,,,,1,2,2,4,5,2,,2,2,,,3,5,3,,,1,3,2,,,2,,2,,,,,,2,1,2,2,3,4,,180000,,2,4,1,1,2,4,2,3,,,,,,,,,1,,,150,2,6,,,1,3,1,,2,,2,2,,2,2,,,,,2,2,2,2,1,,12,,2,2,2,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,2,1
239,,4,2016,619.8158167,1,0,0,0,0,0,0,0,0,0,0,62400,54756,117156,2,0,2,1,1,,99999998,,,99999998,,2,2,99999998,500,99999998,1,,,,,,2002,11,,,,,,2,2,1,,,2,,2,,,,,,,,,,,,,,,2,1,,2,1,2,,2,,,,3,4,4,,,1,3,2,,,2,,2,,,,100000,,2,0,2,2,3,3,,99999998,1,1,4,1,2,,,1,,,,,,,,,,1,,,130,4,6,,,1,8,1,2,1,,1,2,,2,2,,,,,2,1,1,2,2,,,,1,,1,3,0,0,,,0,,,,,,0,,,,,,,,,,,,2,,1,,,1,,,,1,2
240,,4,2016,495.3468889,1,0,0,0,0,0,0,20000,0,0,0,27600,57179.25,104779.25,2,0,2,1,1,,,,,,,1,2,25000,500,4000000,1,,,,,,,,10,,,2,2,2,1,1,,175000,2,,2,,,,,,,,,,,,,,,,,2,2,2,2,,2,,,,,,,,,,,2,,,2,,2,,,,,,2,,,,3,3,35000,,,2,3,,,,,,,,,,,,,,,2,1,,184,3,6,1992,,1,8,1,2,,,1,2,,2,1,,,,,2,1,1,2,1,,2,,2,2,2,3,400000,,,,,,,,,,,,,,,,,,,,2,,3,,4,,,1,,,,2,1
241,,4,2016,631.4162691,2,0,0,0,0,0,0,0,0,0,0,0,32520,32520,2,0,2,1,1,,,,,,,2,2,99999998,,,1,,,,,,,,,10000,,,,1,2,1,,,,2,1,1,,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,2,2,,,,,3,2,1,,2,,2,2,,,2,,2,,,,,1,2,4,2,2,3,4,,,,2,4,2,2,5,13,,99999998,2,1,1,1,2,2,1,2,,,,60,2,99999998,,,1,4,2,,1,,2,2,,,,,,,,2,2,99999999,99999999,2,,12,,99999999,2,99999999,5,0,,,,,,,,,,,,,99999999,,,,,,,,,,,,,,2,,,,99999999,1
243,,4,2016,183.8160221,1,0,84000,0,0,96000,0,0,0,0,0,48000,0,228000,1,0,1,0,1,,,,100000,20000,,2,2,30000,,5000000,1,,,,,,,,99999998,,,,,2,2,1,1,99999998,2,2,1,2,,,,,,,,,,,,,,1,2,2,2,2,2,,2,1,250,,3,5,5,2,,,3,2,,,2,,2,,,,,,2,0,2,1,3,3,99999998,,,2,3,2,1,,,,,,,,,,,,,2,4,,180,5,4,1973,,1,5,1,1,1,2,1,1,,2,2,2,1,2,2,1,1,1,1,1,,6,,1,2,2,5,0,,,,,,,1,2016,1,1,2016,1,,,,,,,,,,,,,,,2,,1,1,2,1
245,,4,2016,590.6156342,1,0,0,0,0,0,0,0,0,0,0,0,34356,34356,2,0,2,0,2,,99999998,,,99999998,,2,2,12000,,600000,1,,,,,,1980,2,,,7,,,2,2,1,,,2,,,,2,,,,,,,,,,,,,2,1,,99999998,4,2,,2,2,,,2,4,3,,,1,2,1,,,2,,2,,,99999998,,,2,0,2,1,99999998,4,,375000,,2,3,1,1,2,5,2,2,,,,,,,,,1,,,133,3,5,,,1,4,1,,2,,2,2,,2,2,,,,,2,1,2,2,2,,,,1,,1,4,0,0,,,,,,,,,0,,,,,,,,,,,,,,,,,2,,,,2,2
246,,4,2016,307.9701878,1,0,0,0,0,0,0,0,0,0,0,0,0,168000,2,0,2,1,1,,,,,,,2,1,7000,,,1,20000,,,,,,,,15,,,,2,1,1,,,,,2,,,,,,,,,,,,,,,,,2,4,3,,2,,,,,,,,,,,,2,,,2,,2,,,,,,2,,,,2,3,,,,2,,,,,,,,,,,,,,,,,,,,1,,,,1,,2,,,,2,2,,,,,,,,2,1,2,2,1,,12,,2,2,2,2,0,,,,,,,,,,,,,,2,2,2,1,2,2,,,,,,,,2,,,,2,1
247,,4,2016,793.1984642,1,0,0,0,0,0,0,0,0,0,0,0,72452,72452,2,0,2,1,1,,,,,,,2,2,0,,1050000,1,,,,,,1990,1,,,2,,,2,2,1,,,1,,,,2,,,,,,,,,,,,,2,2,2,4,3,2,,2,2,,,3,3,3,,,,2,2,,,2,,2,,,,,,2,0,2,2,3,3,,75000,,2,4,2,2,2,4,1,2,,,,,,,,,1,,,70,6,99999998,,,1,4,1,,2,,2,2,3,2,2,,,,,2,2,2,2,2,,3,1,2,1,2,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,2,1
248,,4,2016,430.0914804,2,0,0,0,0,0,0,0,0,0,0,30000,53652,155852,3,0,3,2,1,,,,,,,2,2,99999998,,1800000,1,,,,,,2005,9,,,1,,,2,2,1,2,,2,,,,2,,2,2,2,2,2,2,2,2,2,2,1,1,2,,2,3,1,,2,2,,2,3,4,4,,4,,2,2,,,2,,2,,,,,5,2,0,2,1,3,3,,780000,,2,1,,1,2,3,2,2,2,1,2,1,2,2,2,2,1,,,120,4,9,,2,1,4,1,1,1,,1,2,,,,,,,,2,2,2,2,1,,,,2,,2,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,2,2
250,,4,2016,598.0968612,1,0,0,0,0,0,0,0,0,0,0,0,49608,86760,2,0,2,1,1,,,,,,,2,2,99999998,,99999998,1,,,,,,99999998,99999998,,,,,,2,2,2,2,,2,,,,2,,2,2,2,2,2,2,2,2,2,2,2,1,2,,2,2,2,,2,,,2,3,4,4,,,1,2,2,,,2,,2,,,,,,2,0,2,1,3,3,,99999998,,2,4,1,1,,,1,,2,1,2,1,2,1,2,2,1,,99999998,100,1,4,,2,1,8,1,1,2,,1,2,,,,,,,,2,2,2,2,2,,,,2,,2,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,2,2
251,,4,2016,392.5019197,1,0,0,0,36000,0,0,0,0,0,0,0,27564,63564,2,0,2,1,1,,,,,50000,,2,2,10000,800,99999998,1,,,,,,99999998,99999998,,,2,,,2,2,1,,,2,,2,,,,,,,,,,,,,,,2,2,2,4,4,2,,2,,,,3,5,2,,,1,2,2,,,2,,2,,,,,,2,0,2,1,5,5,,155000,,2,3,1,2,,,1,,,,,,,,,,1,,,144,3,6,,,1,8,1,1,2,4,1,1,,2,2,2,1,1,2,2,2,2,2,2,,12,,1,2,2,1,0,,,,,,,,,,3,2016,22,,,,,,,,,,,,1,,,1,,,1,2,1
253,,4,2016,685.9184394,1,0,0,0,0,0,0,0,0,0,0,0,44904,44904,1,0,1,0,1,,,,,,,2,2,99999998,,99999998,2,,,,,,1998,4,,,2,,,,,,2,,2,,2,,,,,,,,,,,,,,,1,2,,4,3,2,,2,2,,,1,3,3,,,1,2,2,,,2,,2,,,,,,2,1,1,2,3,3,,170000,,2,3,1,1,3,6,1,3,,,,,,,,,1,,,85,2,7,,,1,4,1,,1,,2,2,,2,2,,,,,2,2,2,2,2,,,,2,,2,99999998,0,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,2,2
254,,4,2016,795.5812307,1,0,0,0,0,0,0,0,0,0,0,0,22880.25,22880.25,2,0,2,1,1,,,,,,,2,2,0,,1100000,2,,,,,,1983,99999998,,,7,,,,,,,,2,,,,2,,,,,,,,,,,,,2,2,,4,3,2,,2,2,,,3,4,4,,,,1,2,,,2,,2,,,,,,2,0,2,2,3,4,,70500,,2,3,2,1,4,4,1,2,,,,,,,,,1,,,70,3,2,,,1,4,1,,2,,2,2,3,2,2,,,,,2,2,2,2,2,,,,2,,2,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,2,2
255,,4,2016,355.6811247,1,0,0,0,0,0,0,0,0,0,0,0,57424.66667,57424.66667,2,0,2,1,1,,,,,,,2,2,0,,99999998,0,,,,,,1984,99999998,,,2,,,,,,,,2,,,,2,,,,,,,,,,,,,2,2,,4,5,2,,2,,,,3,5,5,,,,2,2,,,2,,2,,,,,,2,0,2,2,3,4,,29000,,2,3,2,2,3,4,3,2,,,,,,,,,1,,,100,2,3,,,4,4,1,,2,,2,2,,2,2,,,,,2,2,2,2,2,,,,2,,2,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,2,
256,,4,2016,623.0131444,1,0,0,0,0,0,0,0,0,0,0,32400,39492,71892,1,0,1,0,1,,,,,,,2,2,1500,,,1,,,,,,,,,1000,,,,2,2,1,,,,,2,,,,,,,,,,,,,,,,2,2,4,4,2,2,,2,,,3,3,3,,,,1,2,,,2,,2,,,,,,2,0,2,2,4,4,,,,2,4,2,2,,,,,,,,,,,,,,,,90,1,,,,1,5,2,,2,,2,2,,,,,,,,2,2,2,2,1,,12,,99999999,2,99999999,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,2,1
258,,4,2016,509.8998723,2,0,0,0,120,0,0,0,0,0,0,86400,27564,114084,1,0,1,0,1,,400000,,,200000,,2,2,20000,,99999998,1,,,,,,,,,,,,,2,2,2,,,2,,,,2,,2,2,2,2,1,2,2,2,2,2,1,2,2,,1,1,2,,2,,,2,3,4,3,,2,,2,2,,,2,,2,,,,,8,2,0,2,2,3,3,,,,2,1,2,2,,,,,2,1,2,2,2,2,2,2,4,,2,95,4,7,,2,1,8,1,,3,1,2,1,,,,2,1,2,2,2,2,2,2,2,,,,1,,1,5,0,6,2016,23,,,,,,,6,2016,23,,,,,,,,,,,,,,1,2,,,1,2,2
259,,4,2016,490.9079588,1,0,0,0,0,0,0,0,0,0,0,0,24984,240084,2,0,2,1,1,,99999998,,,99999998,,1,2,30000,,1500000,1,,,,,,2002,7,,,2,,,2,2,1,2,,,,2,,,,,,,,,,,,,,,1,2,2,2,3,2,2,,1,20,,3,4,4,2,,1,2,2,,,2,,2,,,,,,2,0,2,2,3,3,,140000,,2,3,1,1,1,2,1,2,,,,,,,,,1,,,100,5,7,,,1,4,1,2,2,,1,2,,2,2,,,,,2,1,1,2,1,,9,,1,2,1,3,200000,0,,,,,,,,,0,,,,,,,,,,2,,,,,,,2,,,,2,1
263,,4,2016,1969.659036,1,0,0,0,0,0,0,0,0,0,0,84000,71796,155796,3,0,3,2,1,,,,,,,2,2,99999998,,1650000,99999998,,,,,,,,,,,,,,,,1,,,2,1,1,,,,,,,,,,,,,,1,2,2,4,5,2,1,,2,,,3,3,3,,,,2,2,1450000,,2,,2,,,,1650000,,2,1,2,2,3,5,,,1,1,4,2,1,3,4,,2,,,,,,,,,,,,120,5,,,,1,4,7,1,2,,1,2,,,,,,,,2,2,2,2,2,,12,,2,2,2,1,0,,,,,,,,,,,,,1650000,,,,,,,,,,,,,,2,,,,2,1
264,,4,2016,839.1635356,1,0,0,0,0,0,0,0,0,0,0,176400,58176,234576,2,0,2,1,1,0.25,,,,500000,,2,2,35000,,5500000,1,,,,,,1976,99999998,,,4,,,1,1,1,,,2,,2,,,,,,,,,,,,,,,2,2,,4,4,1,,2,1,100,,1,5,5,1,,,3,2,,,2,,1,1,2,5000000,,,2,0,2,1,3,3,,700000,,2,3,,2,,,1,,,,,,,,,,1,,,150,5,4,,,1,5,1,2,3,1,1,1,,2,2,2,1,2,2,1,2,2,2,1,,,,1,,2,5,0,,,,,,,,,,5,2016,1,,,,,,,,,,,,,,,2,,,1,2,2
266,,4,2016,855.2894166,1,0,0,0,0,0,0,0,0,0,0,0,12132,110132,5,3,2,1,1,,,,,,,2,2,99999999,,99999998,1,,,,,,,,7,,,2,1,1,2,1,1,5000000,1,2,1,1,,,,,,,,,,,,,,1,2,,4,4,2,,1,1,350,,1,5,3,1,,2,8,2,5400000,,2,,2,,,,,,2,0,1,2,2,3,550000,,,2,3,1,2,,,,,,,,,,,,,2,1,,550,5,9,2011,,1,5,1,2,1,,1,2,,2,2,,,,,1,1,1,2,1,,,,2,,2,4,0,,,,,,,,,,,,,5400000,,,,,,,,,,,,,,2,,,,2,2
267,,4,2016,525.5582927,1,0,0,0,0,0,0,0,0,0,0,0,0,120000,1,0,1,0,1,,6000,,,,,2,2,16000,,,1,,,,,,,,,2400,,,,2,1,1,,,,,2,,,,,,,,,,,,,,,,2,2,2,2,2,2,,2,,,3,2,2,,,,1,2,,,2,,2,,,,,,2,0,2,2,3,3,,,,2,4,2,1,4,4,,6,,,,,,,,,,,,50,1,,,,1,4,2,1,2,,1,2,,,,,,,,2,1,1,2,1,,12,,2,2,1,3,0,5,2016,5,,,,,,,,,,,,,,,,,,,,,,,1,2,,,,2,1
268,,4,2016,495.8806802,1,0,0,0,0,0,0,0,0,0,0,54000,26088,80088,1,0,1,0,1,,,,,,,2,2,99999998,,99999998,1,,,,,,1988,99999998,,,2,,,2,2,1,,,2,,2,,,,,,,,,,,,,,,2,2,,3,3,2,,2,2,,,3,2,2,,,,1,2,,,2,,2,,,,,,2,0,2,2,3,3,,26000,,2,4,2,2,2,4,1,2,,,,,,,,,1,,,60,2,3,,,1,4,1,,2,,2,2,,2,2,,,,,2,2,2,2,1,,,,2,,2,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,2,2
269,,4,2016,1081.678653,2,0,0,0,0,0,0,0,0,0,0,0,60636,60636,2,0,2,1,1,,,,,,,2,2,99999999,,99999998,1,,,,,,99999999,,,,,,,2,2,1,2,,2,,,,2,,2,2,2,2,2,2,2,2,2,2,2,1,2,,2,2,2,,2,,,2,3,4,3,,3,1,1,2,,,2,,2,,,,,3,2,1,2,2,3,3,,99999999,,2,4,1,2,3,5,99999999,3,2,1,2,1,2,2,2,2,1,,,90,3,7,,2,1,4,1,1,1,,1,2,,,,,,,,99999999,99999999,99999999,99999999,99999999,,,,99999999,,99999999,99999999,0,,,,,,,,,,,,,,,,,,,,,,,,,,,99999999,,,,99999999,2
271,,4,2016,382.2002193,1,0,0,0,0,0,0,0,0,0,0,69600,45992,115592,3,0,3,2,1,,,,99999999,99999998,,2,2,30000,2000,99999998,1,,,,30,,,,99999998,,,1,2,2,2,1,1,125000,2,,2,,,,,,,,,,,,,,,1,2,2,4,4,2,,2,,,,1,5,2,,,2,2,2,,,2,,2,,,,,,2,0,1,2,4,4,3000,,,2,4,1,2,,,,,,,,,,,,,2,4,,170,5,6,99999998,,1,8,1,2,2,,1,2,,2,2,,,,,2,1,1,1,1,,1,,1,2,2,99999999,0,,,,0,,,0,,,0,,,,,,,,,,,,3,,,,,1,,,,1,1
272,,4,2016,493.3471369,1,0,0,0,0,0,0,0,0,0,0,0,50508,124908,2,0,2,1,1,,,,,,,2,1,25000,,1200000,1,,,,,,2000,99999998,,,2,,,2,2,2,1,,2,,2,,,,,,,,,,,,,,,1,2,2,4,3,2,,2,2,,,3,3,3,,,1,1,2,,,2,,2,,,,,,2,2,2,1,3,4,,150000,,2,4,1,1,5,7,2,8,,,,,,,,,1,,,60,5,8,,,1,4,1,1,1,,1,2,,2,2,,,,,1,1,1,2,2,,6,,2,2,2,1,0,,,,,,,,,,,,,,1,2,2,2,2,2,,,,,,,,2,,,,2,1
274,,4,2016,493.3471369,1,0,0,0,0,0,0,0,0,0,0,0,10632,298632,2,0,2,1,1,,,,,99999999,,2,2,50000,600,99999998,1,,,,,,,,99999998,,,,,2,1,1,1,99999998,2,,2,,,,,,,,,,,,,,,1,2,2,2,2,2,,2,,,,3,5,5,,,,3,2,,,2,,2,,,,,,2,0,1,2,3,3,99999999,,,2,4,2,2,,,,,,,,,,,,,2,1,,140,4,6,99999998,,1,8,1,2,1,,1,2,,2,2,,,,,99999998,1,99999999,99999999,1,,12,,1,2,99999999,1,0,,,,,,,,,,0,,,,,,,,,,,,,,,,,2,,,,99999999,1
275,,4,2016,229.2662995,2,0,0,0,0,60000,0,0,0,0,0,0,0,120000,2,0,2,1,1,,,,100000,,8,1,1,15000,170,,1,140000,,,,,,,2,,,,,1,1,1,1,,2,,,,2,,2,2,2,2,1,1,2,2,2,2,2,1,2,2,4,4,1,,2,,,1,3,5,5,,4,,2,2,,,1,2,2,,,4000000,,6,2,0,2,1,4,4,,,,2,4,,1,,,,,2,2,2,1,2,1,1,2,2,3,,170,3,5,1982,1,1,8,1,2,2,,1,2,,,,,,,,2,2,2,1,2,,12,2,2,1,2,1,200000,,,,,,,7,2016,1,,,,,2,2,2,1,2,2,2,,,,,,,2,,1,,2,1
278,,4,2016,631.4162691,1,0,0,0,0,18000,0,0,0,0,0,72000,55128,145461,2,0,2,1,1,,99999998,,,99999998,,2,2,25000,,2500000,1,,,,10,,99999998,99999998,,,,,,2,1,1,1,,2,2,,,1,1,,,,,,,,,,,,1,2,,2,3,1,,2,2,,,2,4,4,,,,2,2,,,2,,2,,,,,,2,1,2,2,2,3,,99999998,,2,3,,2,3,5,2,2,,,,,,,,,1,,,90,5,8,,,1,4,1,2,1,,1,2,4,2,2,,,,,99999998,1,1,99999998,1,,,,1,,1,5,0,0,,,0,,,,,,0,,,,,,,,,,,,,,,,,2,,,,1,2
279,,4,2016,507.0977551,1,0,0,0,0,0,0,0,0,0,0,96000,67512,175512,2,0,2,1,1,,1000000,,,,,2,2,20000,,900000,1,,,,,,,,,,,,,2,2,1,,,,,,,2,,,,,,,,,,,,,2,2,,1,2,2,2,,1,20,,3,4,3,1,,1,2,2,,,2,,2,,,,,,2,0,1,1,3,3,,,,2,4,1,2,,,,,,,,,,,,,,,,100,4,,,,1,5,6,1,2,,1,2,,,,,,,,2,1,2,2,1,,,,2,,1,5,0,1,2016,1,,,,,,,,,,,,,,,,,,,,,,,1,2,,,,2,2
280,,4,2016,887.9991053,1,0,0,0,0,0,0,0,0,0,0,0,41424,83424,3,0,3,2,1,,,,,,,2,1,7000,,,1,80000,,,,,,,,5000,,,,2,1,1,,,,,2,,,,,,,,,,,,,,,,,2,99999998,4,,2,,,,,,,,,,,,2,,,2,,2,,,,,,2,,,,99999998,5,,,,2,,,,,,,,,,,,,,,,,,,,3,,,,1,,2,1,,,1,2,,,,,,,,2,2,2,2,2,,6,,2,2,2,1,0,,,,,,,,,,,,,,2,2,2,1,2,2,,,,,,,,2,,,,2,1
282,,4,2016,626.151359,1,0,0,0,0,0,0,0,0,0,0,0,3882,187482,4,2,2,1,1,,2000,,,,,2,1,44000,,,1,99999998,,,,,,,,4250,,,,2,2,1,,,,,2,,,,,,,,,,,,,,,,2,,4,3,2,2,,2,,,3,4,3,,,,1,2,,,2,,2,,,,,,2,0,2,2,3,3,,,,2,4,2,2,2,3,,3,,,,,,,,,,,,100,4,,,,1,4,2,2,2,1,1,1,,,,2,1,2,2,2,1,1,2,1,,,,2,,1,5,0,12,2015,31,,,,,,,,,,,2,2,2,1,2,2,,,,,,,1,2,,,,2,2
284,,4,2016,509.0665728,1,0,0,0,0,0,0,0,0,0,0,0,38232,38232,1,0,1,0,1,,,,,,,2,2,0,,,0,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,2,,4,99999998,2,2,,1,99999998,,3,3,3,1,,,2,2,,,2,,2,,,,,,2,0,2,2,4,4,,,,2,3,2,1,,,,,,,,,,,,,,,,72,4,,,,99999999,5,6,,2,99999998,2,1,,,,2,2,1,2,99999999,99999999,99999999,99999999,99999999,,,,99999999,,99999999,99999999,0,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,99999999,
285,,4,2016,754.5529422,1,0,0,0,0,0,0,0,0,51747.6,0,60000,57828,169575.6,2,0,2,1,1,,,,,99999998,,2,2,0,,,1,,,,,,,,,,,,,2,2,1,,,,,2,,,,,,,,,,,,,,,2,2,,4,4,2,2,,,,,3,3,3,,,,2,2,,,2,,2,,,,,,2,0,2,2,4,4,,,,2,3,2,2,,,,,,,,,,,,,,,,100,5,,,,1,8,3,1,1,2,1,1,,,,2,1,1,2,2,2,2,2,2,,,,1,,2,4,0,,,,,,,,,,0,,,,,,,,,,,,,,,,,2,,,,2,2
287,,4,2016,599.8629,1,0,0,0,0,0,0,0,0,0,0,69600,55128,124728,3,0,3,2,1,,,,,,,2,2,20000,550,1500000,2,,,,,,1964,10,,,7,,,,,,1,,2,,2,,,,,,,,,,,,,,,1,2,,3,3,2,,2,,,,3,4,4,,,,2,2,,,2,,2,,,,,,2,0,2,1,3,3,,900,,2,4,2,2,,,3,,,,,,,,,,1,,,140,5,2,,,1,8,1,1,1,,1,2,,2,2,,,,,2,2,2,2,1,,,,2,,2,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,2,2
290,,4,2016,549.1817243,1,0,0,0,0,0,0,0,0,0,0,0,0,312000,2,0,2,1,1,210,50000,,,99999998,,1,2,70000,,,1,,,,,,,,,7000,,,,2,2,2,,,,2,1,1,,,,,,,,,,,,,,,2,2,3,3,2,2,,2,,,3,5,5,,,1,2,2,,,2,,1,1,1,1500000,,,2,3,2,1,2,3,,,,2,3,1,1,5,18,,4,,,,,,,,,,,,125,5,,,,2,4,2,2,1,1,1,1,,,,2,1,2,2,1,1,1,2,2,,6,6,1,1,1,3,300000,12,2015,31,,,,,,,0,,,900000,,,,,,,2,,,,,,1,2,,,,2,1
